,Unnamed: 0,Unnamed: 0.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time
21,21,22,knew,31.8,32.1,67.8195,0.3,4,0.018292683,0.0,0.579025217,0.7388384594984941,31.950000000000003
22,22,23,them,32.1,32.55,100.0,0.45,4,0.033536585,0.09,0.350261275,0.4380664828536281,32.325
23,23,24,on,32.64,32.85,100.0,0.21,2,0.030487805,0.0,0.28155566,0.3996290369070731,32.745000000000005
24,24,25,the,32.85,32.94,100.0,0.09,3,0.0,0.0,0.269904017,0.22865677084241406,32.894999999999996
25,25,26,sand,32.94,33.63,100.0,0.69,4,0.057926829,0.69,0.219684642,0.31722538550501744,33.285
26,26,27,half,34.32,34.71,100.0,0.39,4,0.027439024,0.0,0.202676102,0.43141372282546353,34.515
27,27,28,sung,34.71,35.19,59.9444,0.48,4,0.036585366,1.29,0.121683058,0.21700989177137617,34.95
28,28,29,a,36.48,36.51,100.0,0.03,1,0.0,0.0,0.366210423,0.42906001866464294,36.495
29,29,30,shattered,36.51,37.23,100.0,0.72,9,0.020325203,0.06,0.310553854,0.4040735359818908,36.87
30,30,31,visage,37.29,37.86,100.0,0.57,6,0.026422764,0.0,0.251804832,0.26988377084516696,37.575
31,31,32,lies,37.86,38.7,100.0,0.84,4,0.073170732,1.14,0.148811082,0.21014308540027482,38.28
32,32,33,whose,39.84,40.05,100.0,0.21,5,0.004878049,0.0,0.322657567,0.27238732213352795,39.945
33,33,34,frown,40.05,40.71,100.0,0.66,5,0.041463415,0.0,0.360815022,0.6361069046806814,40.379999999999995
34,34,35,and,40.71,41.04,100.0,0.33,3,0.032520325,0.0,0.216409139,0.2857859659136269,40.875
35,35,36,wrinkled,41.04,41.85,100.0,0.81,8,0.028963415,0.06,0.290336047,0.33265840858683693,41.445
36,36,37,lip,41.91,42.33,100.0,0.42,3,0.044715447,0.0,0.231565162,0.295747788059178,42.12
37,37,38,and,42.33,42.6,100.0,0.27,3,0.024390244,0.0,0.197814603,0.21191638266639115,42.465
38,38,39,sneer,42.6,43.44,100.0,0.84,5,0.056097561,0.0,0.359947964,0.38845723460873016,43.019999999999996
39,39,40,of,43.44,43.59,100.0,0.15,2,0.018292683,0.12,0.121269,0.15103385054154075,43.515
40,40,41,cold,43.71,44.34,100.0,0.63,4,0.051829268,0.0,0.417373445,0.47163483043019927,44.025000000000006
41,41,42,command,44.34,45.06,100.0,0.72,7,0.029616725,2.04,0.229627697,0.4807353941561202,44.7
42,42,43,tell,47.1,47.43,100.0,0.33,4,0.021341463,0.06,0.582738329,0.8184999279658567,47.265
43,43,44,that,47.49,47.67,100.0,0.18,4,0.006097561,0.0,0.536910954,0.7613118381002806,47.58
44,44,45,it's,47.67,47.82,100.0,0.15,4,0.00304878,0.0,0.229265612,0.25980421395149944,47.745000000000005
45,45,46,sculptor,47.82,48.66,100.0,0.84,8,0.030487805,0.0,0.254977024,0.4288921352683957,48.239999999999995
46,46,47,well,48.66,49.32,100.0,0.66,4,0.054878049,0.06,0.328909764,0.4560613970750752,48.989999999999995
47,47,48,those,49.38,49.89,100.0,0.51,5,0.029268293,0.0,0.160720158,0.24463277853000462,49.635000000000005
48,48,49,passions,49.89,50.67,100.0,0.78,8,0.027439024,0.03,0.077524832,0.1420009201154036,50.28
49,49,50,read,50.7,51.15,100.0,0.45,4,0.033536585,0.03,0.131249307,0.195837571144885,50.925
50,50,51,which,51.18,51.48,100.0,0.3,5,0.012195122,0.0,0.059893525,0.17564233032606372,51.33
51,51,52,yet,51.48,51.81,100.0,0.33,3,0.032520325,0.0,0.105223341,0.18243946379068435,51.644999999999996
52,52,53,survive,51.81,52.5,100.0,0.69,7,0.027874564,1.02,0.129110134,0.21288131225483198,52.155
53,53,55,stamped,57.27,57.9,100.0,0.63,7,0.024390244,0.0,0.330008012,0.5058227820051743,57.585
54,54,56,on,57.9,58.02,100.0,0.12,2,0.012195122,0.0,0.524218089,0.5375988771849974,57.96
55,55,57,these,58.02,58.47,100.0,0.45,5,0.024390244,0.15,0.322485887,0.336672609865833,58.245000000000005
56,56,58,lifeless,58.62,59.34,100.0,0.72,8,0.024390244,1.05,0.32912362,0.3922585333966835,58.980000000000004
57,57,59,the,60.39,62.46,100.0,2.07,3,0.268292683,0.0,0.124320588,0.18995770529171488,61.425
58,58,60,hand,62.46,62.91,100.0,0.45,4,0.033536585,0.0,0.535751949,0.7747165295876802,62.685
59,59,61,that,62.91,63.09,100.0,0.18,4,0.006097561,0.0,0.268823586,0.4736496809850967,63.0
60,60,62,mocked,63.09,63.51,100.0,0.42,6,0.016260163,0.0,0.277050323,0.35078583489611226,63.3
61,61,63,them,63.51,63.75,100.0,0.24,4,0.012195122,1.05,0.171643435,0.23132678862612993,63.629999999999995
62,62,64,in,64.8,64.936597,47.8264,0.136597,2,0.015568496,0.0,0.093402771,0.18587636035179578,64.86829850000001
63,63,65,the,64.936597,65.07,100.0,0.133403,3,0.005881165,0.0,0.256513462,0.40780067066693215,65.0032985
64,64,66,heart,65.07,65.61,100.0,0.54,5,0.031707317,0.0,0.16619796,0.27307327817351895,65.34
65,65,67,that,65.61,65.82,100.0,0.21,4,0.009146341,0.0,0.05464221,0.1388867541190734,65.715
66,66,68,fed,65.82,66.39,100.0,0.57,3,0.06504065,3.66,0.087450465,0.1325142026554446,66.10499999999999
67,67,69,and,70.05,70.2,100.0,0.15,3,0.008130081,0.0,0.44484039,0.7528196549518655,70.125
68,68,70,on,70.2,70.38,100.0,0.18,2,0.024390244,0.0,0.91422196,0.8634339777253911,70.28999999999999
69,69,71,the,70.38,70.5,100.0,0.12,3,0.004065041,0.0,0.616153521,0.4183589108070485,70.44
70,70,72,pedestal,70.5,71.28,100.0,0.78,8,0.027439024,0.12,0.427964928,0.44234313484304993,70.89
71,71,73,these,71.4,72.03,100.0,0.63,5,0.03902439,0.0,0.549437789,0.4814103275855898,71.715
72,72,74,words,72.03,72.75,100.0,0.72,5,0.046341463,0.0,0.456567518,0.5470591820503051,72.39
73,73,75,appear,72.75,73.14,100.0,0.39,6,0.014227642,2.4,0.373820183,0.3577398679618742,72.945
74,74,76,my,75.54,75.9,100.0,0.36,2,0.06097561,0.0,0.673532693,0.9484137408722341,75.72
75,75,77,name,75.9,76.38,100.0,0.48,4,0.036585366,0.0,0.988716265,1.0,76.14
76,76,78,is,76.38,76.68,100.0,0.3,2,0.048780488,0.09,0.73341114,0.6357972563214813,76.53
77,77,79,ozymandias,76.77,78.12,100.0,1.35,10,0.042682927,0.45,0.538467383,0.5866845716787822,77.445
78,78,80,king,78.57,79.23,100.0,0.66,4,0.054878049,0.09,0.810585148,0.7860417353770293,78.9
79,79,81,of,79.32,79.65,100.0,0.33,2,0.054878049,0.0,0.351199164,0.5324317442081337,79.485
80,80,82,kings,79.65,80.58,100.0,0.93,5,0.063414634,2.16,0.416414933,0.5169908539578861,80.11500000000001
81,81,83,look,82.74,83.1,100.0,0.36,4,0.024390244,0.0,0.506948326,0.6506528373346694,82.91999999999999
82,82,84,on,83.1,83.28,100.0,0.18,2,0.024390244,0.0,0.800028757,0.8200455765071424,83.19
83,83,85,my,83.28,83.58,100.0,0.3,2,0.048780488,0.0,1.0,0.8865722357047519,83.43
84,84,86,works,83.58,84.45,100.0,0.87,5,0.058536585,0.0,0.236521673,0.37831060254545773,84.015
85,85,87,ye,84.45,84.84,100.0,0.39,2,0.067073171,0.0,0.77313227,0.6824245596862388,84.64500000000001
86,86,88,mighty,84.84,85.8,100.0,0.96,6,0.052845528,0.84,0.471129216,0.47018021994425074,85.32
87,87,89,and,86.64,86.94,100.0,0.3,3,0.028455285,0.0,0.559687983,0.7806534855596071,86.78999999999999
88,88,90,despair,86.94,87.81,100.0,0.87,7,0.038327526,1.26,0.440816173,0.6864879398177984,87.375
89,89,91,the,89.07,91.86,71.0398,2.79,3,0.365853659,0.27,0.162003384,0.20213371070422212,90.465
90,90,92,nothing,92.13,92.82,100.0,0.69,7,0.027874564,0.0,0.447297715,0.4322048106572603,92.475
91,91,93,beside,92.82,93.6,100.0,0.78,6,0.040650407,0.0,0.318932072,0.2925974054645657,93.21
92,92,94,remains,93.6,94.14,100.0,0.54,7,0.019163763,1.95,0.282855978,0.23557155312435277,93.87
93,93,95,round,96.09,96.57,100.0,0.48,5,0.026829268,0.0,0.535449536,0.7434729816904807,96.33
94,94,96,the,96.57,96.69,100.0,0.12,3,0.004065041,0.0,0.696686924,0.6502424231857566,96.63
95,95,97,decay,96.69,97.32,100.0,0.63,5,0.03902439,0.0,0.501520845,0.5716808921779553,97.005
96,96,98,of,97.32,97.5,100.0,0.18,2,0.024390244,0.0,0.276299946,0.2675418738604152,97.41
97,97,99,that,97.5,97.77,100.0,0.27,4,0.015243902,0.0,0.19674429,0.4233955732801351,97.63499999999999
98,98,100,colossal,97.77,98.79,100.0,1.02,8,0.039634146,0.0,0.27548985,0.3118959695165854,98.28
99,99,101,wreck,98.79,99.45,100.0,0.66,5,0.041463415,0.93,0.128573289,0.2265995938559005,99.12
100,100,102,boundless,100.38,101.55,100.0,1.17,9,0.040650407,0.21,0.342526484,0.4654332830776656,100.965
101,101,103,and,101.76,102.18,100.0,0.42,3,0.044715447,0.09,0.168337382,0.22486561528424837,101.97
102,102,104,bare,102.27,102.75,100.0,0.48,4,0.036585366,1.2,0.404070398,0.3062945606116081,102.50999999999999
103,103,105,the,103.95,104.94,100.0,0.99,3,0.12195122,0.0,0.18186993,0.2062533510921522,104.445
104,104,106,lone,104.94,105.42,100.0,0.48,4,0.036585366,0.0,0.732967312,0.7022049788898667,105.18
105,105,107,and,105.42,105.69,100.0,0.27,3,0.024390244,0.06,0.704387412,0.4498987100674535,105.555
106,106,108,level,105.75,106.26,100.0,0.51,5,0.029268293,0.0,0.565329851,0.45011266857428534,106.005
107,107,109,sands,106.26,106.86,100.0,0.6,5,0.036585366,0.33,0.358862834,0.30717642181669613,106.56
108,108,110,stretch,107.19,108.0,100.0,0.81,7,0.034843206,0.0,0.256140297,0.25383679540743337,107.595
109,109,111,far,108.0,108.63,100.0,0.63,3,0.073170732,0.0,0.450446656,0.3979947149131952,108.315
110,110,112,away,108.63,109.17,100.0,0.54,4,0.042682927,0.0,0.40265009,0.3037755266880815,108.9
