,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space,speed
80,mandius,46.9,47.5,7,0.6,0.08571428571428572,,0.512303352,47.2,0.6599999999999966,11.666666666666668
81,king,48.16,48.58,4,0.42,0.105,,0.506319205,48.37,0.03999999999999915,9.523809523809524
82,of,48.62,48.72,2,0.1,0.05,,0.346177697,48.67,0.0799999999999983,20.0
83,kings,48.8,49.4,5,0.6,0.12,,0.417331329,49.099999999999994,1.1000000000000014,8.333333333333334
84,look,50.5,50.68,4,0.18,0.045,,0.529896557,50.59,0.03999999999999915,22.22222222222222
85,on,50.72,50.82,2,0.1,0.05,,0.533964992,50.769999999999996,0.03999999999999915,20.0
86,my,50.86,51.02,2,0.16,0.08,,0.668027469,50.94,0.0799999999999983,12.5
87,works,51.1,51.56,5,0.46,0.092,,0.446726704,51.33,0.05999999999999517,10.869565217391305
88,he,51.62,51.72,2,0.1,0.05,,0.511560082,51.67,0.12000000000000455,20.0
89,mighty,51.84,52.28,6,0.44,0.07333333333333333,,0.51097905,52.06,0.6400000000000006,13.636363636363637
90,and,52.92,53.06,3,0.14,0.04666666666666667,,0.415076494,52.99,0.05999999999999517,21.428571428571427
91,despair,53.12,53.84,7,0.72,0.10285714285714286,,0.423308434,53.480000000000004,1.7199999999999989,9.722222222222223
92,nothing,55.56,55.92,7,0.36,0.05142857142857143,,0.514501631,55.74,0.05999999999999517,19.444444444444446
93,beside,55.98,56.44,6,0.46,0.07666666666666667,,0.518061733,56.209999999999994,0.03999999999999915,13.043478260869565
94,remains,56.48,57.08,7,0.6,0.08571428571428572,,0.456284303,56.78,1.240000000000002,11.666666666666668
95,round,58.32,58.64,5,0.32,0.064,,0.631554876,58.480000000000004,0.01999999999999602,15.625
96,the,58.66,58.7,3,0.04,0.013333333333333334,,0.705475748,58.68,0.03999999999999915,75.0
97,decay,58.74,59.24,5,0.5,0.1,,0.560853958,58.99,0.05999999999999517,10.0
98,of,59.3,59.36,2,0.06,0.03,,0.444137851,59.33,0.03999999999999915,33.333333333333336
99,that,59.4,59.56,4,0.16,0.04,,0.462749788,59.480000000000004,0.05999999999999517,25.0
100,colossal,59.62,60.1,8,0.48,0.06,,0.519349598,59.86,0.05999999999999517,16.666666666666668
101,wreck,60.16,60.56,5,0.4,0.08,,0.335906029,60.36,0.5799999999999983,12.5
102,boundless,61.14,61.88,9,0.74,0.08222222222222222,,0.455029611,61.510000000000005,0.0799999999999983,12.162162162162163
103,and,61.96,62.08,3,0.12,0.04,,0.467366171,62.019999999999996,0.0799999999999983,25.0
104,bear,62.16,62.58,4,0.42,0.105,,0.534566455,62.37,0.9600000000000009,9.523809523809524
105,the,63.54,63.64,3,0.1,0.03333333333333333,,0.497819662,63.59,0.0799999999999983,30.0
106,loan,63.72,64.14,4,0.42,0.105,,0.56237189,63.93,0.3199999999999932,9.523809523809524
107,and,64.46,64.6,3,0.14,0.04666666666666667,,0.568986972,64.53,0.0800000000000125,21.428571428571427
108,level,64.68,64.98,5,0.3,0.06,,0.603037687,64.83000000000001,0.060000000000002274,16.666666666666668
109,sands,65.04,65.68,5,0.64,0.128,,0.378437961,65.36000000000001,0.5,7.8125
110,stretch,66.18,66.76,7,0.58,0.08285714285714285,,0.333759613,66.47,0.6199999999999903,12.06896551724138
111,far,67.38,67.74,3,0.36,0.12,,0.486205399,67.56,0.060000000000002274,8.333333333333334
112,away,67.8,68.18,4,0.38,0.095,,0.346185684,67.99000000000001,0.0,10.526315789473685
