,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time
54,54,has,23.789667,23.94,89.5789,0.150333,3,0.2430140562733137,0.0,0.0478222423306099,23.864833500000003
55,55,survive,23.94,24.57,100.0,0.63,7,0.517795083576445,0.6000000000000014,0.1035319824145298,24.255000000000003
56,56,stamped,25.17,25.8,100.0,0.63,7,0.517795083576445,0.0,0.049985620900212,25.485
57,57,on,25.8,25.95,100.0,0.15,2,0.4144654586285403,0.0,0.0686981553459654,25.875
58,58,these,25.95,26.19,100.0,0.24,5,0.2284721337223119,0.0,0.0599797318582643,26.07
59,59,lifeless,26.19,26.82,100.0,0.63,8,0.4402978648655165,0.0,0.064524460533698,26.505000000000003
60,60,things,26.82,27.45,100.0,0.63,6,0.6211247085243495,0.4800000000000004,0.0112009063323471,27.134999999999998
61,61,a,27.93,28.02,90.5858,0.09,1,0.517795083576445,0.0028229999999993,0.0,27.975
62,62,hand,28.022823,28.41,100.0,0.387177,4,0.5645982371965984,0.0,0.1742172929579507,28.2164115
63,63,that,28.41,28.53,100.0,0.12,4,0.1044765837848263,0.0,0.0483103019422428,28.47
64,64,mocked,28.53,28.89,100.0,0.36,6,0.3111358336806357,0.0300000000000011,0.0972684056994075,28.71
65,65,him,28.92,29.16,100.0,0.24,3,0.4489086669445085,0.6000000000000014,0.0381794769437818,29.04
66,66,and,29.76,29.85,87.567,0.09,3,0.1044765837848263,0.0,0.0930579046859055,29.805
67,67,the,29.85,29.94,100.0,0.09,3,0.1044765837848263,0.0,0.0839539824817187,29.895000000000003
68,68,heart,29.94,30.3,100.0,0.36,5,0.3937995336389593,0.0,0.1004719710720215,30.12
69,69,that,30.3,30.42,100.0,0.12,4,0.1044765837848263,0.0299999999999975,0.0182983163478935,30.36
70,70,fed,30.45,30.93,100.0,0.48,3,1.0,1.4100000000000037,0.0476795426597896,30.689999999999998
71,71,and,32.34,32.46,100.0,0.12,3,0.1733630004167628,0.0,0.0865205601488754,32.400000000000006
72,72,on,32.46,32.58,100.0,0.12,2,0.3111358336806357,0.0,0.2093766609837168,32.519999999999996
73,73,the,32.58,32.67,100.0,0.09,3,0.1044765837848263,0.0,0.1303882838733584,32.625
74,74,pedestal,32.67,33.42,100.0,0.75,8,0.5436274898134211,0.0599999999999951,0.1340095860141567,33.045
75,75,these,33.48,33.75,100.0,0.27,5,0.2698039837014738,0.0,0.1257215985111127,33.614999999999995
76,76,words,33.75,34.08,100.0,0.33,5,0.3524676836597976,0.0,0.2662310229368928,33.915
77,77,appear,34.08,34.59,100.0,0.51,6,0.4833518752604768,0.9599999999999936,0.0153820583055965,34.335
78,78,my,35.55,35.73,100.0,0.18,2,0.517795083576445,0.0,0.3240096992350025,35.64
79,79,name,35.73,35.94,100.0,0.21,4,0.2594710212066833,0.0,1.0,35.834999999999994
80,80,is,35.94,36.06,100.0,0.12,2,0.3111358336806357,0.0,0.8349930920620849,36.0
81,81,ozymandias,36.06,37.26,100.0,1.2,10,0.7244543334722542,0.240000000000002,0.25811730033115,36.66
82,82,king,37.5,37.77,100.0,0.27,4,0.362800646154588,0.0,0.3648472804666173,37.635000000000005
83,83,of,37.77,37.89,100.0,0.12,2,0.3111358336806357,0.0600000000000022,0.425059212486175,37.83
84,84,kings,37.95,38.67,100.0,0.72,5,0.8897817333889017,0.6299999999999955,0.2186898087125431,38.31
85,85,look,39.3,39.54,100.0,0.24,4,0.3111358336806357,0.0,0.4590451564873646,39.42
86,86,on,39.54,39.66,100.0,0.12,2,0.3111358336806357,0.0,0.856295604677215,39.599999999999994
87,87,my,39.66,39.78,100.0,0.12,2,0.3111358336806357,0.0,0.6507307843944912,39.72
88,88,world,39.78,40.08,87.0597,0.3,5,0.3111358336806357,0.75,0.6201032331123738,39.93
89,89,despair,40.83,41.85,100.0,1.02,7,0.901590833382948,1.3200000000000005,0.1315090186091848,41.34
90,90,nothing,43.17,43.56,100.0,0.39,7,0.2816130836955201,0.0,0.088909412086256,43.365
91,91,beside,43.56,44.04,100.0,0.48,6,0.4489086669445085,0.0,0.079402764849651,43.8
92,92,remains,44.04,44.7,100.0,0.66,7,0.5473178335615606,1.2299999999999969,0.0049565587606037,44.370000000000005
93,93,round,45.93,46.23,100.0,0.3,5,0.3111358336806357,0.0,0.3199047732562726,46.08
94,94,the,46.23,46.32,100.0,0.09,3,0.1044765837848263,0.0,0.4948887491288162,46.275
95,95,decay,46.32,46.77,100.0,0.45,5,0.517795083576445,0.0,0.2841993496504542,46.545
96,96,of,46.77,46.89,100.0,0.12,2,0.3111358336806357,0.0,0.1081252950477898,46.83
97,97,that,46.89,47.1,100.0,0.21,4,0.2594710212066833,0.0,0.1249089840819712,46.995000000000005
98,98,colossal,47.1,47.73,100.0,0.63,8,0.4402978648655165,0.0,0.1532751839727461,47.415
99,99,wreck,47.73,48.27,100.0,0.54,5,0.6417906335139306,0.4499999999999957,0.1123840868642339,48.0
100,100,boundless,48.72,49.38,100.0,0.66,9,0.4029843891898843,0.0,0.1836157538908829,49.05
101,101,and,49.38,49.5,100.0,0.12,3,0.1733630004167628,0.0300000000000011,0.1023443333163048,49.44
102,102,bare,49.53,50.01,100.0,0.48,4,0.7244543334722542,0.5399999999999991,0.1170373091947921,49.769999999999996
103,103,the,50.55,50.7,100.0,0.15,3,0.2422494170486992,0.0,0.1072746242051138,50.625
104,104,lone,50.7,51.09,100.0,0.39,4,0.5694598960503973,0.0,0.2853853554532018,50.895
105,105,and,51.09,51.24,100.0,0.15,3,0.2422494170486992,0.0,0.1800501240519751,51.165000000000006
106,106,level,51.24,51.57,100.0,0.33,5,0.3524676836597976,0.0,0.2470792717332602,51.405
107,107,sands,51.57,52.2,100.0,0.63,5,0.7657861834514161,0.029999999999994,0.0873188070429545,51.885000000000005
108,108,stretch,52.23,52.89,100.0,0.66,7,0.5473178335615606,0.3299999999999983,0.0478438847354755,52.56
109,109,far,53.22,53.61,100.0,0.39,3,0.7933407501041907,0.0,0.0903816254918156,53.415
110,110,away,53.61,53.97,100.0,0.36,4,0.517795083576445,0.0,0.0277877661367395,53.79
