,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
52,stamped,30.18,30.68,7,0.5,0.07142857142857142,222.99922151985967,30.43,0.10000000000000142,0.488888513984082
53,on,30.78,30.9,2,0.12,0.06,187.56818183013374,30.84,0.060000000000002274,0.5575731262778809
54,these,30.96,31.14,5,0.18,0.036,190.30989825912607,31.05,0.03999999999999915,0.22855527953715074
55,lifeless,31.18,31.68,8,0.5,0.0625,188.1883785585254,31.43,0.05999999999999872,0.3493537773064601
56,things,31.74,32.26,6,0.52,0.08666666666666667,176.82690462920178,32.0,0.4200000000000017,0.21948055666914998
57,the,32.68,32.78,3,0.1,0.03333333333333333,166.55225924656142,32.73,0.11999999999999744,0.4802276342823495
58,hand,32.9,33.32,4,0.42,0.105,193.53001209819016,33.11,0.020000000000003126,0.47590337106063474
59,that,33.34,33.46,4,0.12,0.03,164.40537249884392,33.4,0.060000000000002274,0.5853299311046316
60,mocked,33.52,33.84,6,0.32,0.05333333333333334,175.1290304136565,33.68,0.03999999999999915,0.46429140606541197
61,them,33.88,34.12,4,0.24,0.06,160.53522200115154,34.0,0.5600000000000023,0.308911494401338
62,and,34.68,34.82,3,0.14,0.04666666666666667,187.8121672830634,34.75,0.020000000000003126,0.10808015517970375
63,the,34.84,34.9,3,0.06,0.02,149.00702162698605,34.87,0.060000000000002274,0.42362259467413865
64,heart,34.96,35.34,5,0.38,0.076,194.52709658553678,35.15,0.03999999999999915,0.5763299420108695
65,that,35.38,35.54,4,0.16,0.04,180.96314925401037,35.46,0.0799999999999983,0.36235105862987826
66,fed,35.62,36.0,3,0.38,0.12666666666666668,173.2014376170345,35.81,0.7000000000000028,0.4221616648191434
67,and,36.7,36.9,3,0.2,0.06666666666666667,179.03486708606619,36.8,0.0799999999999983,0.26274941746145336
68,on,36.98,37.22,2,0.24,0.12,211.9778221658231,37.1,0.03999999999999915,0.906027638029541
69,the,37.26,37.3,3,0.04,0.013333333333333334,247.63061387536612,37.28,0.060000000000002274,0.6377326223010168
70,pedestal,37.36,38.0,8,0.64,0.08,186.10856445787496,37.68,0.14000000000000057,0.4250660268496786
71,these,38.14,38.38,5,0.24,0.048,188.6245080321713,38.26,0.05999999999999517,0.2601123598567683
72,words,38.44,38.84,5,0.4,0.08,176.08129633493635,38.64,0.03999999999999915,0.4669576901821754
73,appear,38.88,39.36,6,0.48,0.08,169.649583787906,39.12,1.2800000000000011,0.3422366352277252
74,my,40.64,40.8,2,0.16,0.08,208.82343866570497,40.72,0.10000000000000142,0.8646710784023989
75,name,40.9,41.32,4,0.42,0.105,177.23917760516227,41.11,0.240000000000002,0.5879912397267623
76,is,41.56,41.74,2,0.18,0.09,180.17210766086714,41.65,0.10000000000000142,0.18768381157734618
77,aussie,41.84,42.22,6,0.38,0.06333333333333334,184.84158432941808,42.03,0.020000000000003126,0.5186464367134409
78,mandius,42.24,42.92,7,0.68,0.09714285714285716,170.2444692050033,42.58,0.5599999999999952,0.3534910296578075
79,king,43.48,43.74,4,0.26,0.065,224.00278268804348,43.61,0.01999999999999602,0.47506700783720573
80,of,43.76,43.84,2,0.08,0.04,186.66076297567074,43.8,0.05999999999999517,0.2697396666761594
81,kings,43.9,44.44,5,0.54,0.10800000000000001,171.90952836097455,44.17,0.7199999999999989,0.27975485275984735
82,look,45.16,45.46,4,0.3,0.075,219.38461845188417,45.31,0.21999999999999886,0.42254117304275535
83,on,45.68,45.82,2,0.14,0.07,191.7727667313853,45.75,0.03999999999999915,0.7161872897403104
84,my,45.86,45.98,2,0.12,0.06,182.40934715791738,45.92,0.060000000000002274,0.8250064069067593
85,works,46.04,46.46,5,0.42,0.08399999999999999,175.93785220847587,46.25,0.17999999999999972,0.37397348683600046
86,you,46.64,46.74,3,0.1,0.03333333333333333,193.60253303814116,46.69,0.0799999999999983,0.3970019768931445
87,mighty,46.82,47.18,6,0.36,0.06,174.59105497988728,47.0,0.11999999999999744,0.5450767357845842
88,and,47.3,47.4,3,0.1,0.03333333333333333,167.46952040309776,47.35,0.03999999999999915,0.4899802183472363
89,despair,47.44,48.08,7,0.64,0.09142857142857143,168.00042846068922,47.76,1.4400000000000048,0.5459185796851354
90,nothing,49.52,49.92,7,0.4,0.05714285714285715,191.3026512076793,49.72,0.05999999999999517,0.5487436600485162
91,beside,49.98,50.5,6,0.52,0.08666666666666667,179.55143653144145,50.24,0.03999999999999915,0.6958702396662125
92,remains,50.54,51.16,7,0.62,0.08857142857142856,168.13318250976977,50.85,0.6600000000000037,0.40412092144243333
93,round,51.82,52.16,5,0.34,0.068,212.33332463372352,51.99,0.020000000000003126,0.86570425960737
94,the,52.18,52.24,3,0.06,0.02,179.64819635758457,52.21,0.03999999999999915,0.5091515903717407
95,decay,52.28,52.7,5,0.42,0.08399999999999999,202.9949438776905,52.49,0.03999999999999915,0.6611337168362527
96,of,52.74,52.8,2,0.06,0.03,191.39179426222486,52.77,0.04000000000000625,0.40663168256736554
97,that,52.84,53.0,4,0.16,0.04,180.77941207444655,52.92,0.03999999999999915,0.732957810271292
98,colossal,53.04,53.6,8,0.56,0.07,187.7434104241147,53.32,0.03999999999999915,0.6998924156889721
99,wreck,53.64,54.0,5,0.36,0.072,188.29053179744744,53.82,0.4399999999999977,0.35580457833277407
100,boundless,54.44,55.0,9,0.56,0.06222222222222223,210.76387285442237,54.72,0.03999999999999915,0.580889128921675
101,and,55.04,55.12,3,0.08,0.02666666666666667,217.98809564815483,55.08,0.0800000000000054,0.24719233751514486
102,bear,55.2,55.62,4,0.42,0.105,173.09534174702736,55.41,0.4200000000000017,0.7370343806577582
103,the,56.04,56.16,3,0.12,0.04,185.43107361563963,56.1,0.060000000000002274,0.5385040296661798
104,loan,56.22,56.64,4,0.42,0.105,191.03121357722966,56.43,0.0799999999999983,0.5624362848892255
105,and,56.72,56.82,3,0.1,0.03333333333333333,187.14751308217186,56.77,0.060000000000002274,0.49033893906305454
106,level,56.88,57.2,5,0.32,0.064,184.4128241567808,57.04,0.0799999999999983,0.7321427736033861
107,sands,57.28,57.86,5,0.58,0.11599999999999999,172.76258225702344,57.57,0.17999999999999972,0.598046529482213
108,stretch,58.04,58.46,7,0.42,0.06,172.383672052927,58.25,0.1599999999999966,0.5593868830071177
109,far,58.62,58.88,3,0.26,0.08666666666666667,172.74705321196006,58.75,0.05999999999999517,0.8564210835773016
110,away,58.94,59.36,4,0.42,0.105,161.40878220505948,59.15,0.0,0.6466624429765861
