,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time
21,21,desert,18.45,18.96,100.0,0.51,6,0.2291666666666666,0.7799999999999976,0.1127805762686943,18.705
22,22,near,19.74,19.98,100.0,0.24,4,0.1249999999999999,0.0,0.5036699078515936,19.86
23,23,them,19.98,20.13,100.0,0.15,4,0.0312499999999999,0.0,0.4883473452482932,20.055
24,24,on,20.13,20.28,100.0,0.15,2,0.1874999999999999,0.0,0.6431333007898846,20.205
25,25,the,20.28,20.4,100.0,0.12,3,0.0416666666666666,0.0,0.4196740260920595,20.34
26,26,sand,20.4,20.97,100.0,0.57,4,0.4687499999999999,0.0300000000000011,0.3523716721868813,20.685
27,27,half,21.0,21.36,100.0,0.36,4,0.2499999999999999,0.0,0.1557023689135765,21.18
28,28,sunk,21.36,21.72,100.0,0.36,4,0.2499999999999999,0.0,0.1638658327099494,21.54
29,29,a,21.72,21.81,100.0,0.09,1,0.2499999999999999,0.0,0.1980018678897739,21.765
30,30,shattered,21.81,22.23,100.0,0.42,9,0.0694444444444444,0.0,0.1571310102543588,22.02
31,31,visit,22.23,22.56,100.0,0.33,5,0.15,0.0,0.2663186633712467,22.395
32,32,july,22.56,22.98,100.0,0.42,4,0.3124999999999999,0.0,0.1819790290392411,22.77
33,33,is,22.98,23.34,100.0,0.36,2,0.6249999999999999,0.2699999999999996,0.0264271549719302,23.16
34,34,whose,23.61,23.94,100.0,0.33,5,0.15,0.0,0.1751376476096323,23.775
35,35,frown,23.94,24.57,100.0,0.63,5,0.3999999999999999,0.0,0.4347444359133269,24.255000000000003
36,36,and,24.57,24.72,100.0,0.15,3,0.0833333333333333,0.0,0.2626232295246669,24.645
37,37,wrinkled,24.72,25.23,100.0,0.51,8,0.140625,0.0,0.1464817986220133,24.975
38,38,lip,25.23,25.56,100.0,0.33,3,0.3333333333333333,0.0,0.1880016701167283,25.395
39,39,and,25.56,25.71,100.0,0.15,3,0.0833333333333333,0.0,0.1552045158353213,25.634999999999998
40,40,sneer,25.71,26.31,100.0,0.6,5,0.3749999999999999,0.0,0.378123293062529,26.009999999999998
41,41,of,26.31,26.46,100.0,0.15,2,0.1874999999999999,0.0,0.0569663940227527,26.384999999999998
42,42,cold,26.46,26.82,100.0,0.36,4,0.2499999999999999,0.0,0.252357141594023,26.64
43,43,command,26.82,27.45,100.0,0.63,7,0.2499999999999999,0.5700000000000003,0.1985245527278187,27.134999999999998
44,44,tell,28.02,28.32,100.0,0.3,4,0.1874999999999999,0.0,0.4137736472912513,28.17
45,45,that,28.32,28.53,100.0,0.21,4,0.0937499999999999,0.0,0.3507940881529528,28.425
46,46,it's,28.53,28.65,100.0,0.12,4,0.0,0.0300000000000011,0.0195895556914502,28.59
47,47,sculptor,28.68,29.28,100.0,0.6,8,0.1874999999999999,0.0,0.2325843480542403,28.98
48,48,well,29.28,29.76,100.0,0.48,4,0.3749999999999999,0.0,0.3674462657831956,29.520000000000003
49,49,those,29.76,30.18,100.0,0.42,5,0.2249999999999999,0.0599999999999987,0.2643962989533084,29.97
50,50,passions,30.24,30.72,100.0,0.48,8,0.1249999999999999,0.0,0.0784191928964258,30.479999999999997
51,51,read,30.72,31.08,100.0,0.36,4,0.2499999999999999,0.5100000000000016,0.061947410801272,30.9
52,52,which,31.59,31.92,100.0,0.33,5,0.15,0.0,0.2001379177249923,31.755000000000003
53,53,yet,31.92,32.19,100.0,0.27,3,0.25,0.0,0.2670355563908465,32.055
54,54,survive,32.19,32.97,100.0,0.78,7,0.3392857142857143,0.0,0.1910186582404209,32.58
55,55,stamped,32.97,33.39,100.0,0.42,7,0.1249999999999999,0.0,0.1161470446492865,33.18
56,56,on,33.39,33.63,100.0,0.24,2,0.3749999999999999,0.0,0.2913732701354364,33.510000000000005
57,57,these,33.63,33.99,100.0,0.36,5,0.1749999999999999,0.0,0.1258703144939116,33.81
58,58,lifeless,33.99,34.5,100.0,0.51,8,0.140625,0.0300000000000011,0.076753091625613,34.245000000000005
59,59,things,34.53,35.13,100.0,0.6,6,0.2916666666666666,0.6599999999999966,0.0283423095128722,34.83
60,60,the,35.79,35.97,100.0,0.18,3,0.1249999999999999,0.0,0.3161894472863986,35.879999999999995
61,61,hand,35.97,36.39,100.0,0.42,4,0.3124999999999999,0.0,0.2946087815494272,36.18
62,62,that,36.39,36.57,100.0,0.18,4,0.0624999999999999,0.0,0.1694745809482645,36.480000000000004
63,63,melt,36.57,36.9,87.8698,0.33,4,0.21875,0.0300000000000011,0.2051383082239453,36.735
64,64,them,36.93,37.26,100.0,0.33,4,0.21875,0.4500000000000028,0.2947184166073129,37.095
65,65,and,37.71,37.86,99.5165,0.15,3,0.0833333333333333,0.0,0.4028683417358215,37.785
66,66,the,37.86,37.98,100.0,0.12,3,0.0416666666666666,0.0,0.3394221282839718,37.92
67,67,heart,37.98,38.37,100.0,0.39,5,0.1999999999999999,0.0,0.205861733956326,38.175
68,68,that,38.37,38.58,100.0,0.21,4,0.0937499999999999,0.0,0.0537280745172517,38.474999999999994
69,69,fed,38.58,39.03,100.0,0.45,3,0.4999999999999999,1.8599999999999997,0.110323097226089,38.805
70,70,and,40.89,41.1,100.0,0.21,3,0.1666666666666666,0.0,0.5823002022107886,40.995000000000005
71,71,on,41.1,41.28,100.0,0.18,2,0.2499999999999999,0.0,1.0,41.19
72,72,the,41.28,41.37,100.0,0.09,3,0.0,0.0,0.6423365730103499,41.325
73,73,pedestal,41.37,42.0,100.0,0.63,8,0.203125,0.0,0.4887114750671611,41.685
74,74,these,42.0,42.33,100.0,0.33,5,0.15,0.0,0.4558102599048124,42.165
75,75,words,42.33,42.72,100.0,0.39,5,0.1999999999999999,0.0,0.2931126001322384,42.525
76,76,appear,42.72,43.38,100.0,0.66,6,0.3333333333333333,0.6299999999999955,0.0805160089429307,43.05
77,77,my,44.01,44.34,100.0,0.33,2,0.5625,0.0,0.5138163801019978,44.175
78,78,name,44.34,44.76,100.0,0.42,4,0.3124999999999999,0.0,0.6575044178348517,44.55
79,79,is,44.76,45.09,100.0,0.33,2,0.5625,0.0599999999999951,0.4370113860821089,44.925
80,80,ozymandias,45.15,46.44,100.0,1.29,10,0.4125,0.0,0.3912782345986579,45.795
81,81,king,46.44,47.19,100.0,0.75,4,0.65625,0.0,0.3298902485214595,46.815
82,82,of,47.19,47.31,100.0,0.12,2,0.1249999999999999,0.0,0.0221160184913685,47.25
83,83,kings,47.31,47.97,100.0,0.66,5,0.425,0.480000000000004,0.117996354545533,47.64
84,84,look,48.45,48.75,100.0,0.3,4,0.1874999999999999,0.0,0.3257675270940661,48.6
85,85,on,48.75,48.93,100.0,0.18,2,0.2499999999999999,0.0,0.7486764590369964,48.84
86,86,my,48.93,49.2,100.0,0.27,2,0.4375,0.0,0.6234540662381186,49.065
87,87,works,49.2,49.77,100.0,0.57,5,0.3499999999999999,0.0,0.3373929507149865,49.485
88,88,ye,49.77,49.95,100.0,0.18,2,0.2499999999999999,0.0,0.2128996048315095,49.86
89,89,mighty,49.95,50.7,100.0,0.75,6,0.3958333333333333,0.2399999999999948,0.1230774335309655,50.325
90,90,and,50.94,51.12,100.0,0.18,3,0.1249999999999999,0.0,0.2428290017235415,51.03
91,91,despair,51.12,51.87,100.0,0.75,7,0.3214285714285714,1.6799999999999995,0.0970008730801387,51.495
92,92,nothing,53.55,54.24,100.0,0.69,7,0.2857142857142856,0.0,0.34493633634947,53.894999999999996
93,93,beside,54.24,54.78,100.0,0.54,6,0.25,0.0,0.2264269801914031,54.510000000000005
94,94,remains,54.78,55.56,100.0,0.78,7,0.3392857142857143,0.8099999999999952,0.1891075446885336,55.17
95,95,round,56.37,56.91,100.0,0.54,5,0.325,0.0300000000000011,0.5477187028735152,56.64
96,96,the,56.94,57.06,100.0,0.12,3,0.0416666666666666,0.0,0.5460521911103745,57.0
97,97,decay,57.06,57.78,100.0,0.72,5,0.4749999999999999,0.0,0.4191697637090648,57.42
98,98,of,57.78,57.93,100.0,0.15,2,0.1874999999999999,0.0,0.1839227165746635,57.855000000000004
99,99,that,57.93,58.26,100.0,0.33,4,0.21875,0.0,0.1806182452700557,58.095
100,100,colossal,58.26,58.89,100.0,0.63,8,0.203125,0.0,0.1733167768684817,58.575
101,101,wreck,58.89,59.4,100.0,0.51,5,0.3,0.4500000000000028,0.0372079607897486,59.144999999999996
102,102,boundless,59.85,60.75,100.0,0.9,9,0.2916666666666667,0.0,0.2113760697082317,60.3
103,103,and,60.75,60.93,100.0,0.18,3,0.1249999999999999,0.0,0.2381347463276554,60.84
104,104,bare,60.93,61.47,100.0,0.54,4,0.4375,0.6899999999999977,0.1148800806814329,61.2
105,105,the,62.16,62.31,100.0,0.15,3,0.0833333333333333,0.0,0.1402051635513923,62.235
106,106,lone,62.31,62.82,100.0,0.51,4,0.40625,0.0,0.4438927268972377,62.565
107,107,and,62.82,62.97,100.0,0.15,3,0.0833333333333333,0.0,0.3623855197828937,62.894999999999996
108,108,level,62.97,63.45,100.0,0.48,5,0.2749999999999999,0.0,0.1700350147082954,63.21
109,109,sands,63.45,64.2,100.0,0.75,5,0.4999999999999999,0.1199999999999903,0.1220199512999764,63.825
110,110,stretch,64.32,64.86,100.0,0.54,7,0.1964285714285714,0.0,0.0,64.59
111,111,far,64.86,65.19,100.0,0.33,3,0.3333333333333333,0.0,0.0815489450340851,65.025
112,112,away,65.19,65.79,100.0,0.6,4,0.4999999999999999,0.0,0.0994821623106561,65.49000000000001
