,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
40,command,18.36,18.82,7,0.46,0.06571428571428571,97.71583797073912,18.59,1.5399999999999991,0.2528121081826154
41,tell,20.36,20.62,4,0.26,0.065,134.58072190574447,20.49,0.019999999999999574,0.5309554686533796
42,that,20.64,20.74,4,0.1,0.025,104.9546096761847,20.69,0.020000000000003126,0.22415182204607534
43,the,20.76,20.82,3,0.06,0.02,114.22423279874674,20.79,0.05999999999999872,0.11131635351043344
44,scope,20.88,21.18,5,0.3,0.06,115.02111683553598,21.03,0.019999999999999574,0.33618379323598835
45,that,21.2,21.26,4,0.06,0.015,140.9349997478371,21.23,0.05999999999999872,0.09574386713430597
46,well,21.32,21.56,4,0.24,0.06,108.42160027507587,21.44,0.019999999999999574,0.35501999969417397
47,those,21.58,21.76,5,0.18,0.036,95.58329892709851,21.67,0.03999999999999915,0.34256279058498806
48,passions,21.8,22.26,8,0.46,0.0575,108.99729166532919,22.03,0.03999999999999915,0.38197321798280687
49,read,22.3,22.58,4,0.28,0.07,,22.44,1.1400000000000006,0.14846514686749657
50,which,23.72,23.92,5,0.2,0.04,112.3078037097222,23.82,0.019999999999999574,0.23929910333788118
51,yet,23.94,24.1,3,0.16,0.05333333333333334,104.92797288009233,24.02,0.03999999999999915,0.3099712816989063
52,survive,24.14,24.64,7,0.5,0.07142857142857142,90.7204552542318,24.39,0.9399999999999977,0.1360844077276045
53,stamped,25.58,26.02,7,0.44,0.06285714285714286,117.71759023386481,25.8,0.019999999999999574,0.3361687957294891
54,on,26.04,26.14,2,0.1,0.05,101.1332930479174,26.09,0.03999999999999915,0.4080540807688503
55,these,26.18,26.34,5,0.16,0.032,103.84202020287213,26.26,0.05999999999999872,0.4125753116226635
56,lifeless,26.4,26.8,8,0.4,0.05,104.810345408221,26.6,0.03999999999999915,0.36248213581760397
57,things,26.84,27.2,6,0.36,0.06,90.43509620680665,27.02,1.7800000000000011,0.14966348583507966
58,the,28.98,29.08,3,0.1,0.03333333333333333,,29.03,0.060000000000002274,0.41723807506189836
59,hand,29.14,29.54,4,0.4,0.1,116.24057239286378,29.34,0.16000000000000014,0.4689384465233345
60,marked,29.7,30.02,6,0.32,0.05333333333333334,103.07338314205334,29.86,0.0,0.2168343538038006
61,them,30.02,30.16,4,0.14,0.035,93.08405628338274,30.09,1.0399999999999991,0.1196309335129761
62,and,31.2,31.32,3,0.12,0.04,111.3683455555892,31.26,0.019999999999999574,0.23574665688082194
63,the,31.34,31.38,3,0.04,0.013333333333333334,117.79385455599936,31.36,0.060000000000002274,0.5506445742253271
64,heart,31.44,31.76,5,0.32,0.064,105.6274984094067,31.6,0.5999999999999979,0.24214739366173993
65,but,32.36,32.48,3,0.12,0.04,92.59751114201133,32.42,0.10000000000000142,0.1153908008502052
66,said,32.58,32.82,4,0.24,0.06,99.6266627985541,32.7,3.280000000000001,0.23944286903939724
67,and,36.1,36.34,3,0.24,0.08,136.39942254192493,36.22,0.5799999999999983,0.534369002843913
68,on,36.92,37.1,2,0.18,0.09,164.47071332540327,37.01,0.03999999999999915,0.6007776276549017
69,the,37.14,37.18,3,0.04,0.013333333333333334,137.9175922485646,37.16,0.060000000000002274,0.49744405132289615
70,pedestal,37.24,37.66,8,0.42,0.0525,134.1279802777911,37.45,1.5,0.2877356402771716
71,these,39.16,39.4,5,0.24,0.048,138.83079023069672,39.28,0.060000000000002274,0.4682626231766345
72,words,39.46,39.74,5,0.28,0.05600000000000001,110.09936359018211,39.6,0.03999999999999915,0.3731635513687582
73,appear,39.78,40.16,6,0.38,0.06333333333333334,94.97646208499285,39.97,3.260000000000005,0.15179187684500603
74,my,43.42,43.58,2,0.16,0.08,209.44724614350812,43.5,0.060000000000002274,0.992152197464151
75,name,43.64,43.78,4,0.14,0.035,255.83474774375117,43.71,0.060000000000002274,1.0
76,is,43.84,43.92,2,0.08,0.04,223.15172500170647,43.88,0.10000000000000142,0.43271490206285923
77,aussie,44.02,44.28,6,0.26,0.043333333333333335,180.01889648541032,44.15,0.03999999999999915,0.6710073935229381
78,bodius,44.32,44.88,6,0.56,0.09333333333333334,235.47316418388274,44.6,0.6999999999999957,0.6673710124726377
79,k,45.58,45.74,1,0.16,0.16,278.0262545126518,45.66,2.6199999999999974,0.9163140733854359
80,look,48.36,48.54,4,0.18,0.045,249.9847575235235,48.45,0.03999999999999915,0.7249052349695373
81,all,48.58,48.7,3,0.12,0.04,284.6371466085024,48.64,0.0799999999999983,0.8493970466760392
82,my,48.78,48.94,2,0.16,0.08,106.97596974181968,48.86,0.10000000000000142,0.9750120183404946
83,works,49.04,49.44,5,0.4,0.08,162.82939504999314,49.24,0.2600000000000051,0.5104821424328514
84,you,49.7,49.9,3,0.2,0.06666666666666667,199.97356183246092,49.8,0.14000000000000057,0.7927914380624311
85,mighty,50.04,50.4,6,0.36,0.06,146.5448164685265,50.22,0.6200000000000045,0.42225966238403057
86,and,51.02,51.22,3,0.2,0.06666666666666667,,51.12,0.060000000000002274,0.46546442228839857
87,despair,51.28,52.08,7,0.8,0.1142857142857143,,51.68,2.3599999999999994,0.3399197546198333
88,yeah,54.44,54.44,4,0.0,0.0,,54.44,1.9400000000000048,
89,nothing,56.38,56.66,7,0.28,0.04,144.4005407630322,56.52,0.020000000000003126,0.5781244796845972
90,beside,56.68,57.16,6,0.48,0.08,120.26786643441271,56.92,0.2600000000000051,0.4694533246699934
91,remains,57.42,57.92,7,0.5,0.07142857142857142,92.61247373285676,57.67,1.8399999999999963,0.19253561078810794
92,round,59.76,59.98,5,0.22,0.044,139.96006976205877,59.87,0.020000000000003126,0.7083974067175673
93,the,60.0,60.06,3,0.06,0.02,156.48302319973453,60.03,0.01999999999999602,0.7568974638208253
94,decare,60.08,60.4,6,0.32,0.05333333333333334,147.92018071127987,60.24,0.0,0.608401405792672
95,of,60.4,60.44,2,0.04,0.02,142.0788712910422,60.42,0.03999999999999915,0.4471304392614867
96,this,60.48,60.58,4,0.1,0.025,138.24294883111958,60.53,0.03999999999999915,0.30242850612828764
97,colossal,60.62,61.04,8,0.42,0.0525,130.44062736435652,60.83,0.03999999999999915,0.574279335771806
98,wreck,61.08,61.42,5,0.34,0.068,123.21637524892299,61.25,0.10000000000000142,0.37132539919690927
99,bound,61.52,61.86,5,0.34,0.068,121.71017574480307,61.69,0.020000000000003126,0.5254754565419937
100,listen,61.88,62.16,6,0.28,0.04666666666666667,103.9039624079282,62.02,0.060000000000002274,0.45611778539727127
101,bear,62.22,62.56,4,0.34,0.085,107.06442195124028,62.39,2.1200000000000045,0.48734615401778386
102,the,64.68,64.78,3,0.1,0.03333333333333333,,64.73,0.060000000000002274,0.1475457986389783
103,lone,64.84,65.2,4,0.36,0.09,126.10903863504788,65.02,0.03999999999999204,0.526359332570705
104,and,65.24,65.3,3,0.06,0.02,109.70941886278278,65.27,0.04000000000000625,0.18550520439044713
105,level,65.34,65.6,5,0.26,0.052000000000000005,110.14332980749839,65.47,0.060000000000002274,0.43994237744535025
106,sand,65.66,66.1,4,0.44,0.11,139.6331751403805,65.88,0.10000000000000853,0.23905107231813436
107,stretch,66.2,66.68,7,0.48,0.06857142857142857,,66.44,1.1799999999999926,0.27654897771750636
108,far,67.86,68.14,3,0.28,0.09333333333333334,70.85869744537428,68.0,0.060000000000002274,0.340967680324726
109,away,68.2,68.56,4,0.36,0.09,,68.38,0.0,0.1720214752915794
