,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space
109,expand,35.52,36.12,100.0,0.5999999999999943,6,0.09999999999999905,0.0
110,the,36.12,36.24,100.0,0.1200000000000045,3,0.0400000000000015,0.0
111,list,36.24,36.48,100.0,0.2399999999999948,4,0.0599999999999987,0.030000000000001137
112,that,36.51,36.63,100.0,0.1200000000000045,4,0.030000000000001126,0.0
113,you,36.63,36.72,100.0,0.0899999999999963,3,0.029999999999998767,0.0
114,see,36.72,36.96,100.0,0.240000000000002,3,0.08000000000000067,0.0
115,her,36.96,37.14,100.0,0.1799999999999997,3,0.059999999999999894,0.6000000000000014
116,next,37.74,38.01,100.0,0.269999999999996,4,0.067499999999999,0.0
117,slide,38.01,38.31,100.0,0.3000000000000042,5,0.060000000000000844,0.11999999999999744
118,we,38.43,38.58,100.0,0.1499999999999985,2,0.07499999999999925,0.0
119,don't,38.58,38.76,100.0,0.1799999999999997,5,0.035999999999999935,0.0
120,have,38.76,38.82,100.0,0.0600000000000022,4,0.01500000000000055,0.0
121,time,38.82,39.03,100.0,0.2100000000000008,4,0.0525000000000002,0.0
122,for,39.03,39.15,100.0,0.1199999999999974,3,0.039999999999999133,0.0
123,that,39.15,39.33,100.0,0.1799999999999997,4,0.04499999999999992,0.3299999999999983
124,and,39.66,39.87,100.0,0.2100000000000008,3,0.07000000000000027,0.0
125,yet,39.87,40.17,100.0,0.3000000000000042,3,0.10000000000000141,0.05999999999999517
126,next,40.23,40.5,100.0,0.2700000000000031,4,0.06750000000000078,0.0
127,slide,40.5,40.83,100.0,0.3299999999999983,5,0.06599999999999966,1.4400000000000048
128,when,42.27,42.45,100.0,0.1799999999999997,4,0.04499999999999992,0.0
129,we,42.45,42.57,100.0,0.1199999999999974,2,0.0599999999999987,0.0
130,look,42.57,42.87,90.5333,0.2999999999999971,4,0.07499999999999928,0.12000000000000455
131,at,42.99,43.2,100.0,0.2100000000000008,2,0.1050000000000004,0.0
132,what,43.2,43.41,100.0,0.2099999999999937,4,0.05249999999999842,0.0
133,happened,43.41,43.83,79.3154,0.4200000000000017,8,0.05250000000000021,0.0
134,in,43.83,43.95,93.8995,0.1200000000000045,2,0.06000000000000225,0.0
135,practice,43.95,44.58,100.0,0.6299999999999955,8,0.07874999999999943,0.0
136,with,44.58,44.79,100.0,0.2100000000000008,4,0.0525000000000002,0.0
137,wardle,44.79,45.21,63.0771,0.4200000000000017,6,0.07000000000000028,0.269999999999996
138,what,45.48,45.69,100.0,0.2100000000000008,4,0.0525000000000002,0.0
139,we,45.69,45.84,100.0,0.1500000000000056,2,0.0750000000000028,0.0
140,found,45.84,46.32,100.0,0.4799999999999969,5,0.09599999999999938,0.0
141,is,46.32,46.56,100.0,0.240000000000002,2,0.120000000000001,0.0
142,that,46.56,46.71,100.0,0.1499999999999985,4,0.037499999999999624,0.030000000000001137
143,a,46.74,46.86,100.0,0.1199999999999974,1,0.1199999999999974,0.0
144,variety,46.86,47.46,100.0,0.6000000000000014,7,0.08571428571428592,0.0
145,of,47.46,47.55,100.0,0.0899999999999963,2,0.04499999999999815,0.0
146,users,47.55,48.03,100.0,0.480000000000004,5,0.09600000000000079,0.0
147,and,48.03,48.33,76.1365,0.2999999999999971,3,0.09999999999999903,0.0
148,both,48.33,48.66,100.0,0.3299999999999983,4,0.08249999999999957,0.0
149,very,48.66,48.96,100.0,0.3000000000000042,4,0.07500000000000105,0.0
150,sophisticated,48.96,49.71,100.0,0.75,13,0.057692307692307696,0.0
151,journalists,49.71,50.37,100.0,0.6599999999999966,11,0.05999999999999969,0.09000000000000341
152,and,50.46,50.67,100.0,0.2100000000000008,3,0.07000000000000027,0.0
153,lasers,50.67,51.27,100.0,0.6000000000000014,6,0.10000000000000024,0.38999999999999346
154,would,51.66,51.9,92.0896,0.240000000000002,5,0.048000000000000397,0.0
155,do,51.9,52.05,100.0,0.1499999999999985,2,0.07499999999999925,0.0
156,incredibly,52.05,53.04,100.0,0.990000000000002,10,0.0990000000000002,0.0
157,interesting,53.04,53.49,100.0,0.4500000000000028,11,0.040909090909091166,0.0
158,things,53.49,53.97,100.0,0.4799999999999969,6,0.07999999999999947,0.060000000000002274
159,with,54.03,54.24,100.0,0.2100000000000008,4,0.0525000000000002,0.0
160,it,54.24,54.33,100.0,0.0899999999999963,2,0.04499999999999815,0.0
161,would,54.33,54.48,100.0,0.1499999999999985,5,0.0299999999999997,0.0
162,find,54.48,54.81,100.0,0.3300000000000054,4,0.08250000000000135,0.0
163,it,54.81,54.93,100.0,0.1199999999999974,2,0.0599999999999987,0.030000000000001137
164,very,54.96,55.44,100.0,0.4799999999999969,4,0.11999999999999922,0.0
165,useful,55.44,55.83,100.0,0.3900000000000005,6,0.06500000000000009,0.030000000000001137
166,we,55.86,56.01,100.0,0.1499999999999985,2,0.07499999999999925,0.0
167,would,56.01,56.16,100.0,0.1499999999999985,5,0.0299999999999997,0.0
168,see,56.16,56.34,100.0,0.1800000000000068,3,0.06000000000000227,0.0
169,newspapers,56.34,57.03,100.0,0.6899999999999977,10,0.06899999999999977,0.4200000000000017
170,that,57.45,57.6,100.0,0.1499999999999985,4,0.037499999999999624,0.0
171,would,57.6,57.75,100.0,0.1499999999999985,5,0.0299999999999997,0.0
172,create,57.75,58.17,100.0,0.4200000000000017,6,0.07000000000000028,0.21000000000000085
173,subtle,58.38,58.92,100.0,0.5399999999999991,6,0.08999999999999986,0.0
174,word,58.92,59.22,100.0,0.2999999999999971,4,0.07499999999999928,0.0
175,clouds,59.22,59.76,100.0,0.5399999999999991,6,0.08999999999999986,0.060000000000002274
176,analyzing,59.82,60.57,90.5449,0.75,9,0.08333333333333333,0.0
177,political,60.57,61.05,100.0,0.4799999999999969,9,0.05333333333333298,0.0
178,speeches,61.05,61.68,100.0,0.6300000000000026,8,0.07875000000000032,0.4799999999999969
179,next,62.16,62.37,100.0,0.2100000000000008,4,0.0525000000000002,0.0
180,slide,62.37,62.73,100.0,0.3599999999999994,5,0.07199999999999987,0.3790430000000029
181,fact,63.109043,63.48,100.0,0.3709569999999971,4,0.09273924999999927,0.3300000000000054
182,you,63.81,63.99,100.0,0.1799999999999997,3,0.059999999999999894,0.0
183,can,63.99,64.14,100.0,0.1499999999999985,3,0.049999999999999496,0.0
184,sort,64.14,64.29,100.0,0.1500000000000056,4,0.0375000000000014,0.0
185,of,64.29,64.44,100.0,0.1499999999999914,2,0.0749999999999957,0.15000000000000568
186,this,64.59,64.98,100.0,0.3900000000000005,4,0.09750000000000013,0.0
187,will,64.98,65.1,100.0,0.1199999999999903,4,0.029999999999997574,0.0
188,take,65.1,65.34,100.0,0.2400000000000091,4,0.060000000000002274,0.0
189,you,65.34,65.43,100.0,0.0900000000000034,3,0.030000000000001133,0.0
190,back,65.43,65.7,100.0,0.269999999999996,4,0.067499999999999,0.0
191,to,65.7,65.79,100.0,0.0900000000000034,2,0.0450000000000017,0.0
192,a,65.79,65.85,100.0,0.059999999999988,1,0.059999999999988,0.0
193,different,65.85,66.09,100.0,0.2400000000000091,9,0.026666666666667678,0.0
194,era,66.09,66.36,100.0,0.269999999999996,3,0.08999999999999868,0.030000000000001137
195,cause,66.39,66.509399,65.4446,0.1193990000000013,5,0.02387980000000026,0.0
196,you'll,66.509399,66.63,94.5806,0.1206009999999935,6,0.020100166666665583,0.0
197,see,66.63,66.81,100.0,0.1800000000000068,3,0.06000000000000227,0.0
198,how,66.81,66.96,100.0,0.1499999999999914,3,0.04999999999999713,0.0
199,many,66.96,67.35,100.0,0.3900000000000005,4,0.09750000000000013,0.0
200,different,67.35,67.8,100.0,0.4500000000000028,9,0.05000000000000031,0.6300000000000097
201,media,68.43,68.79,100.0,0.3599999999999994,5,0.07199999999999987,0.029999999999986926
202,sites,68.82,69.18,100.0,0.3600000000000136,5,0.07200000000000271,0.029999999999986926
203,would,69.21,69.39,100.0,0.1800000000000068,5,0.03600000000000136,0.0
204,sit,69.39,69.57,100.0,0.1799999999999926,3,0.059999999999997534,0.0
205,here,69.57,69.720498,100.0,0.1504980000000131,4,0.03762450000000327,0.0
206,and,69.720498,69.81,87.8189,0.0895019999999959,3,0.029833999999998636,0.0
207,like,69.81,70.05,100.0,0.2399999999999948,4,0.0599999999999987,0.0
208,do,70.05,70.29,81.42049999999999,0.2400000000000091,2,0.12000000000000455,0.05999999999998806
209,real,70.35,70.68,100.0,0.3300000000000125,4,0.08250000000000313,0.0
210,political,70.68,71.13,100.0,0.4499999999999886,9,0.04999999999999873,0.0
211,analysis,71.13,71.79,100.0,0.6600000000000108,8,0.08250000000000135,0.0
212,with,71.79,72.0,100.0,0.2099999999999937,4,0.05249999999999842,0.0
213,this,72.0,72.3,100.0,0.2999999999999971,4,0.07499999999999928,0.21000000000000796
214,next,72.51,72.87,100.0,0.3599999999999994,4,0.08999999999999984,0.0
215,slide,72.87,73.26,100.0,0.3900000000000005,5,0.0780000000000001,0.8399999999999892
216,but,74.1,74.4,100.0,0.3000000000000113,3,0.10000000000000377,0.0
217,it,74.4,74.49,100.0,0.0899999999999892,2,0.0449999999999946,0.0
218,wasn't,74.49,74.79,100.0,0.3000000000000113,6,0.05000000000000188,0.0
219,just,74.79,75.03,100.0,0.2399999999999948,4,0.0599999999999987,0.0
220,that,75.03,75.33,100.0,0.2999999999999971,4,0.07499999999999928,0.5100000000000051
221,the,75.84,75.96,100.0,0.1199999999999903,3,0.03999999999999677,0.0
222,way,75.96,76.26,100.0,0.3000000000000113,3,0.10000000000000377,0.0
223,wardle,76.26,76.59,73.3294,0.3299999999999983,6,0.054999999999999716,0.0
224,was,76.59,76.74,100.0,0.1499999999999914,3,0.04999999999999713,0.0
225,designed,76.74,77.16,100.0,0.4200000000000017,8,0.05250000000000021,0.0
226,it,77.16,77.25,100.0,0.0900000000000034,2,0.0450000000000017,0.0
227,was,77.25,77.37,100.0,0.1200000000000045,3,0.0400000000000015,0.0
228,very,77.37,77.61,100.0,0.2399999999999948,4,0.0599999999999987,0.0
229,easy,77.61,78.09,100.0,0.480000000000004,4,0.120000000000001,0.030000000000001137
230,to,78.12,78.27,100.0,0.1499999999999914,2,0.0749999999999957,0.0
231,take,78.27,78.63,100.0,0.3599999999999994,4,0.08999999999999984,0.0
232,what,78.63,78.78,100.0,0.1500000000000056,4,0.0375000000000014,0.0
233,you,78.78,78.9,100.0,0.1200000000000045,3,0.0400000000000015,0.0
234,had,78.9,79.08,75.396,0.1799999999999926,3,0.059999999999997534,0.030000000000001137
235,made,79.11,79.53,100.0,0.4200000000000017,4,0.10500000000000043,0.4200000000000017
236,and,79.95,80.13,100.0,0.1799999999999926,3,0.059999999999997534,0.0
237,then,80.13,80.4,100.0,0.2700000000000102,4,0.06750000000000254,0.0
238,print,80.4,80.705024,70.2172,0.3050239999999888,5,0.061004799999997764,0.0
239,it,80.705024,80.82,44.8726,0.1149759999999986,2,0.0574879999999993,0.03280500000001041
240,various,80.852805,81.3,100.0,0.4471949999999935,7,0.06388499999999907,0.0
241,ways,81.3,81.75,100.0,0.4500000000000028,4,0.1125000000000007,0.23999999999999488
242,you,81.99,82.11,99.4229,0.1200000000000045,3,0.0400000000000015,0.0
243,could,82.11,82.26,91.4407,0.1500000000000056,5,0.03000000000000112,0.20999999999999375
244,keep,82.47,82.71,100.0,0.2399999999999948,4,0.0599999999999987,0.0
245,it,82.71,82.8,100.0,0.0900000000000034,2,0.0450000000000017,0.0
246,as,82.8,82.95,100.0,0.1500000000000056,2,0.0750000000000028,0.0
247,a,82.95,83.01,100.0,0.0600000000000022,1,0.0600000000000022,0.0
248,pdf,83.01,83.52,100.0,0.5099999999999909,3,0.16999999999999696,0.45000000000000284
249,and,83.97,84.15,100.0,0.1800000000000068,3,0.06000000000000227,0.0
250,so,84.15,84.27,100.0,0.1199999999999903,2,0.05999999999999515,0.0
251,people,84.27,84.66,100.0,0.3900000000000005,6,0.06500000000000009,0.0
252,did,84.66,84.87,100.0,0.2100000000000079,3,0.07000000000000263,0.060000000000002274
253,all,84.93,85.17,100.0,0.2399999999999948,3,0.07999999999999827,0.0
254,sorts,85.17,85.38,100.0,0.2099999999999937,5,0.04199999999999874,0.0
255,of,85.38,85.5,100.0,0.1200000000000045,2,0.06000000000000225,0.0
256,things,85.5,85.74,100.0,0.2399999999999948,6,0.039999999999999133,0.0
257,that,85.74,85.83,100.0,0.0900000000000034,4,0.02250000000000085,0.0
258,were,85.83,85.95,99.0637,0.1200000000000045,4,0.030000000000001126,0.0
259,not,85.95,86.28,100.0,0.3299999999999983,3,0.10999999999999943,0.0
260,just,86.28,86.58,100.0,0.2999999999999971,4,0.07499999999999928,0.0
261,pure,86.58,86.88,100.0,0.2999999999999971,4,0.07499999999999928,0.0
262,visualizations,86.88,87.72,100.0,0.8400000000000034,14,0.06000000000000024,0.0
263,but,87.72,87.96,100.0,0.2399999999999948,3,0.07999999999999827,0.0
264,in,87.96,88.05,100.0,0.0900000000000034,2,0.0450000000000017,0.0
265,this,88.05,88.2,100.0,0.1500000000000056,4,0.0375000000000014,0.0
266,case,88.2,88.44,100.0,0.2399999999999948,4,0.0599999999999987,0.0
267,for,88.44,88.56,100.0,0.1200000000000045,3,0.0400000000000015,0.0
268,example,88.56,89.01,100.0,0.4500000000000028,7,0.06428571428571468,0.0
269,party,89.01,89.49,100.0,0.4799999999999897,5,0.09599999999999795,0.0
270,invitations,89.49,90.3,100.0,0.8100000000000023,11,0.07363636363636385,0.8700000000000045
271,ok,91.17,91.56,100.0,0.3900000000000005,2,0.19500000000000026,0.4200000000000017
272,so,91.98,92.37,100.0,0.3900000000000005,2,0.19500000000000026,1.5
273,the,93.87,94.02,100.0,0.1499999999999914,3,0.04999999999999713,0.0
274,comment,94.02,94.41,99.527,0.3900000000000005,7,0.055714285714285786,0.0
275,attitudes,94.41,94.89,81.2537,0.480000000000004,9,0.053333333333333774,0.0
276,as,94.89,95.041106,45.51,0.1511059999999986,2,0.0755529999999993,0.029398999999997955
277,very,95.070505,95.31,100.0,0.2394950000000051,4,0.05987375000000127,0.0
278,interesting,95.31,95.7,100.0,0.3900000000000005,11,0.0354545454545455,0.030000000000001137
279,among,95.73,96.09,100.0,0.3599999999999994,5,0.07199999999999987,0.11999999999999034
280,the,96.21,96.45,100.0,0.2400000000000091,3,0.08000000000000303,0.0
281,the,96.45,96.63,100.0,0.1799999999999926,3,0.059999999999997534,0.0
282,visualization,96.63,97.26,100.0,0.6300000000000097,13,0.04846153846153921,0.0
283,world,97.26,97.5,100.0,0.2399999999999948,5,0.04799999999999896,0.060000000000002274
284,was,97.56,97.74,62.8022,0.1799999999999926,3,0.059999999999997534,0.0
285,pretty,97.74,98.13,100.0,0.3900000000000005,6,0.06500000000000009,0.0
286,negative,98.13,98.55,100.0,0.4200000000000017,8,0.05250000000000021,0.18000000000000682
287,frankly,98.73,99.3,100.0,0.5699999999999932,7,0.08142857142857045,0.7199999999999989
288,you,100.02,100.17,100.0,0.1500000000000056,3,0.05000000000000187,0.0
289,know,100.17,100.29,100.0,0.1200000000000045,4,0.030000000000001126,0.0
290,this,100.29,100.47,100.0,0.1799999999999926,4,0.04499999999999815,0.0
291,was,100.47,100.56,100.0,0.0900000000000034,3,0.030000000000001133,0.0
292,just,100.56,100.74,100.0,0.1799999999999926,4,0.04499999999999815,0.0
293,a,100.74,100.8,100.0,0.0600000000000022,1,0.0600000000000022,0.0
294,random,100.8,101.19,100.0,0.3900000000000005,6,0.06500000000000009,0.0
295,sample,101.19,101.58,100.0,0.3900000000000005,6,0.06500000000000009,0.0
296,i,101.58,101.67,98.2565,0.0900000000000034,1,0.0900000000000034,0.0005199999999945248
297,found,101.67052,102.0,100.0,0.3294800000000037,5,0.06589600000000075,0.0
298,during,102.0,102.21,61.3749,0.2099999999999937,6,0.03499999999999895,0.0
299,a,102.21,102.27,100.0,0.0600000000000022,1,0.0600000000000022,0.0
300,recent,102.27,102.6,100.0,0.3299999999999983,6,0.054999999999999716,0.0
301,google,102.6,102.87,100.0,0.2700000000000102,6,0.0450000000000017,0.0
302,search,102.87,103.17,100.0,0.2999999999999971,6,0.04999999999999952,0.0
303,and,103.17,103.26,100.0,0.0900000000000034,3,0.030000000000001133,0.0
304,it,103.26,103.35,100.0,0.0899999999999892,2,0.0449999999999946,0.0
305,wasn't,103.35,103.68,100.0,0.3300000000000125,6,0.05500000000000208,0.0
306,hard,103.68,103.95,100.0,0.269999999999996,4,0.067499999999999,0.0
307,i,103.95,104.01,100.0,0.0600000000000022,1,0.0600000000000022,0.0
308,could,104.01,104.22,100.0,0.2099999999999937,5,0.04199999999999874,0.0
309,have,104.22,104.34,100.0,0.1200000000000045,4,0.030000000000001126,0.030000000000001137
310,found,104.37,104.67,100.0,0.2999999999999971,5,0.05999999999999942,0.030000000000001137
311,many,104.7,105.15,100.0,0.4500000000000028,4,0.1125000000000007,0.0
312,many,105.15,105.42,100.0,0.269999999999996,4,0.067499999999999,0.0
313,more,105.42,105.69,100.0,0.269999999999996,4,0.067499999999999,0.0
314,headlines,105.69,106.23,100.0,0.5400000000000063,9,0.06000000000000069,0.0
315,like,106.23,106.47,100.0,0.2399999999999948,4,0.0599999999999987,0.0
316,this,106.47,106.68,100.0,0.2100000000000079,4,0.052500000000001976,0.539999999999992
317,but,107.22,107.4,100.0,0.1800000000000068,3,0.06000000000000227,0.0
318,i,107.4,107.46,100.0,0.059999999999988,1,0.059999999999988,0.0
319,want,107.46,107.67,100.0,0.2100000000000079,4,0.052500000000001976,0.0
320,to,107.67,107.73,100.0,0.0600000000000022,2,0.0300000000000011,0.0
321,talk,107.73,107.97,100.0,0.2399999999999948,4,0.0599999999999987,0.0
322,about,107.97,108.18,100.0,0.2100000000000079,5,0.04200000000000158,0.0
323,a,108.18,108.24,100.0,0.059999999999988,1,0.059999999999988,0.0
324,different,108.24,108.6,100.0,0.3599999999999994,9,0.03999999999999993,0.060000000000002274
325,attitude,108.66,109.05,100.0,0.3900000000000005,8,0.048750000000000064,0.480000000000004
326,excellent,109.53,109.98,100.0,0.4500000000000028,9,0.05000000000000031,0.6599999999999966
327,and,110.64,111.06,100.0,0.4200000000000017,3,0.14000000000000057,0.7199999999999989
328,i,111.78,111.84,88.3537,0.0600000000000022,1,0.0600000000000022,0.0
329,want,111.84,111.965698,53.203,0.1256979999999998,4,0.03142449999999995,0.0010259999999959746
330,to,111.966724,112.025208,55.53789999999999,0.058484000000007,2,0.0292420000000035,0.0
331,chocolate,112.025208,112.38,87.55330000000001,0.3547919999999891,9,0.03942133333333212,0.12000000000000455
332,a,112.5,112.56,100.0,0.0600000000000022,1,0.0600000000000022,0.0
333,couple,112.56,112.83,100.0,0.269999999999996,6,0.04499999999999934,0.0
334,of,112.83,112.92,100.0,0.0900000000000034,2,0.0450000000000017,0.0
