,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
61,used,33.36,33.54,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.0
62,to,33.54,33.6,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.01999999999999602
63,be,33.62,33.66,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.060000000000002274
64,that,33.72,33.82,4,0.10000000000000142,0.025000000000000355,39.99999999999943,0.020000000000003126
65,in,33.84,33.88,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.03999999999999915
66,order,33.92,34.1,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.0
67,to,34.1,34.1,2,0.0,0.0,inf,0.05999999999999517
68,have,34.16,34.28,4,0.12000000000000455,0.030000000000001137,33.33333333333207,0.0
69,a,34.28,34.32,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.03999999999999915
70,polite,34.36,34.66,6,0.29999999999999716,0.049999999999999524,20.00000000000019,0.020000000000003126
71,conversation,34.68,35.32,12,0.6400000000000006,0.05333333333333338,18.749999999999982,0.0799999999999983
72,we,35.4,35.48,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.0800000000000054
73,just,35.56,35.68,4,0.11999999999999744,0.02999999999999936,33.333333333334046,0.03999999999999915
74,had,35.72,35.84,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.0
75,to,35.84,35.9,2,0.05999999999999517,0.029999999999997584,33.333333333336014,0.03999999999999915
76,follow,35.94,36.16,6,0.21999999999999886,0.03666666666666648,27.272727272727412,0.04000000000000625
77,the,36.2,36.24,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.05999999999999517
78,advice,36.3,36.6,6,0.30000000000000426,0.05000000000000071,19.999999999999716,0.01999999999999602
79,of,36.62,36.68,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.060000000000002274
80,henry,36.74,36.96,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.060000000000002274
81,higgins,37.02,37.3,7,0.27999999999999403,0.03999999999999915,25.000000000000533,0.020000000000003126
82,in,37.32,37.38,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.01999999999999602
83,my,37.4,37.5,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.0799999999999983
84,fair,37.58,37.78,4,0.20000000000000284,0.05000000000000071,19.999999999999716,0.01999999999999602
85,lady,37.8,38.04,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.0799999999999983
86,stick,38.12,38.36,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.060000000000002274
87,to,38.42,38.52,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.03999999999999915
88,the,38.56,38.62,3,0.05999999999999517,0.01999999999999839,50.00000000000403,0.03999999999999915
89,weather,38.66,38.94,7,0.28000000000000114,0.04000000000000016,24.999999999999897,0.03999999999999915
90,and,38.98,39.08,3,0.10000000000000142,0.033333333333333805,29.999999999999574,0.060000000000002274
91,your,39.14,39.24,4,0.10000000000000142,0.025000000000000355,39.99999999999943,0.03999999999999915
92,health,39.28,39.62,6,0.3399999999999963,0.05666666666666605,17.647058823529605,0.6799999999999997
93,but,40.3,40.48,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.5200000000000031
94,these,41.0,41.24,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.01999999999999602
95,days,41.26,41.56,4,0.30000000000000426,0.07500000000000107,13.333333333333144,0.03999999999999915
96,with,41.6,41.74,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.05999999999999517
97,climate,41.8,42.14,7,0.3400000000000034,0.04857142857142906,20.58823529411744,0.060000000000002274
98,change,42.2,42.58,6,0.37999999999999545,0.06333333333333258,15.789473684210716,0.060000000000002274
99,and,42.64,42.74,3,0.10000000000000142,0.033333333333333805,29.999999999999574,0.05999999999999517
100,anti,42.8,43.1,4,0.30000000000000426,0.07500000000000107,13.333333333333144,0.05999999999999517
101,vaxing,43.16,43.66,6,0.5,0.08333333333333333,12.0,0.1600000000000037
102,those,43.82,44.04,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.17999999999999972
103,subjects,44.22,44.74,8,0.5200000000000031,0.06500000000000039,15.384615384615293,1.3200000000000003
104,are,46.06,46.24,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.03999999999999915
105,not,46.28,46.46,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.0799999999999983
106,safe,46.54,46.8,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274
107,either,46.86,47.24,6,0.38000000000000256,0.06333333333333376,15.78947368421042,0.19999999999999574
108,so,47.44,47.64,2,0.20000000000000284,0.10000000000000142,9.999999999999858,0.20000000000000284
109,this,47.84,48.02,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.09999999999999432
110,world,48.12,48.48,5,0.35999999999999943,0.07199999999999988,13.88888888888891,0.060000000000002274
111,that,48.54,48.7,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.03999999999999915
112,we,48.74,48.82,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.11999999999999744
113,live,48.94,49.18,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.060000000000002274
114,in,49.24,49.42,2,0.17999999999999972,0.08999999999999986,11.111111111111128,1.2199999999999989
115,this,50.64,50.82,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.060000000000002274
116,world,50.88,51.2,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.01999999999999602
117,in,51.22,51.28,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.03999999999999915
118,which,51.32,51.54,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.28000000000000114
119,every,51.82,52.28,5,0.46000000000000085,0.09200000000000016,10.869565217391283,0.0799999999999983
120,conversation,52.36,53.16,12,0.7999999999999972,0.06666666666666643,15.000000000000053,0.04000000000000625
121,has,53.2,53.36,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.03999999999999915
122,the,53.4,53.46,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.03999999999999915
123,potential,53.5,53.92,9,0.4200000000000017,0.046666666666666856,21.428571428571342,0.01999999999999602
124,to,53.94,54.02,2,0.0800000000000054,0.0400000000000027,24.999999999998312,0.03999999999999915
125,devolve,54.06,54.4,7,0.3399999999999963,0.048571428571428044,20.588235294117872,0.020000000000003126
126,into,54.42,54.58,4,0.1599999999999966,0.03999999999999915,25.000000000000533,0.03999999999999915
127,an,54.62,54.68,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.060000000000002274
128,argument,54.74,55.12,8,0.37999999999999545,0.04749999999999943,21.05263157894762,0.020000000000003126
129,where,55.14,55.26,5,0.11999999999999744,0.023999999999999487,41.66666666666755,0.020000000000003126
130,our,55.28,55.34,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.03999999999999915
131,politicians,55.38,55.98,11,0.5999999999999943,0.05454545454545403,18.333333333333506,0.060000000000002274
132,can't,56.04,56.22,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.060000000000002274
133,speak,56.28,56.56,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.03999999999999915
134,to,56.6,56.66,2,0.05999999999999517,0.029999999999997584,33.333333333336014,0.060000000000002274
135,one,56.72,56.84,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.03999999999999915
136,another,56.88,57.2,7,0.3200000000000003,0.045714285714285756,21.874999999999982,0.37999999999999545
137,and,57.58,57.7,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.03999999999999915
138,where,57.74,57.9,5,0.1599999999999966,0.03199999999999932,31.250000000000668,0.10000000000000142
139,even,58.0,58.26,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274
140,the,58.32,58.38,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.05999999999999517
141,most,58.44,58.7,4,0.2600000000000051,0.06500000000000128,15.384615384615081,0.09999999999999432
142,trivial,58.8,59.38,7,0.5800000000000054,0.08285714285714363,12.068965517241267,0.03999999999999915
143,of,59.42,59.48,2,0.05999999999999517,0.029999999999997584,33.333333333336014,0.0800000000000054
144,issues,59.56,59.98,6,0.4199999999999946,0.0699999999999991,14.28571428571447,0.04000000000000625
145,have,60.02,60.14,4,0.11999999999999744,0.02999999999999936,33.333333333334046,0.060000000000002274
146,someone,60.2,60.46,7,0.259999999999998,0.03714285714285686,26.92307692307713,0.060000000000002274
147,fighting,60.52,60.8,8,0.27999999999999403,0.034999999999999254,28.57142857142918,0.060000000000002274
148,both,60.86,61.02,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.03999999999999915
149,passionately,61.06,61.56,12,0.5,0.041666666666666664,24.0,0.09999999999999432
150,for,61.66,61.9,3,0.240000000000002,0.08000000000000067,12.499999999999897,0.03999999999999915
151,it,61.94,62.04,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.28000000000000114
152,and,62.32,62.44,3,0.11999999999999744,0.03999999999999915,25.000000000000533,0.03999999999999915
153,against,62.48,62.88,7,0.4000000000000057,0.05714285714285795,17.49999999999975,0.01999999999999602
154,it,62.9,63.0,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.38000000000000256
155,it's,63.38,63.56,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.0799999999999983
156,not,63.64,63.86,3,0.21999999999999886,0.07333333333333296,13.636363636363706,0.0799999999999983
157,normal,63.94,64.38,6,0.4399999999999977,0.07333333333333296,13.636363636363706,0.6800000000000068
158,pure,65.06,65.26,4,0.20000000000000284,0.05000000000000071,19.999999999999716,0.03999999999999204
159,research,65.3,65.7,8,0.4000000000000057,0.05000000000000071,19.999999999999716,0.03999999999999204
160,did,65.74,65.86,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.01999999999999602
161,a,65.88,65.92,1,0.04000000000000625,0.04000000000000625,24.999999999996092,0.03999999999999204
162,study,65.96,66.2,5,0.2400000000000091,0.04800000000000182,20.833333333332543,0.01999999999999602
163,of,66.22,66.28,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.0799999999999983
164,ten,66.36,66.64,3,0.28000000000000114,0.09333333333333371,10.714285714285671,0.09999999999999432
165,thousand,66.74,67.24,8,0.5,0.0625,16.0,0.060000000000002274
166,american,67.3,67.72,8,0.4200000000000017,0.05250000000000021,19.04761904761897,0.01999999999999602
167,adults,67.74,68.08,6,0.3400000000000034,0.05666666666666723,17.647058823529235,0.04000000000000625
168,and,68.12,68.18,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.0
169,they,68.18,68.26,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.05999999999998806
170,found,68.32,68.52,5,0.20000000000000284,0.04000000000000057,24.999999999999645,0.04000000000000625
171,that,68.56,68.66,4,0.09999999999999432,0.02499999999999858,40.000000000002274,0.04000000000000625
172,at,68.7,68.84,2,0.14000000000000057,0.07000000000000028,14.285714285714228,0.060000000000002274
173,this,68.9,69.08,4,0.1799999999999926,0.04499999999999815,22.222222222223134,0.0799999999999983
174,moment,69.16,69.46,6,0.29999999999999716,0.049999999999999524,20.00000000000019,0.04000000000000625
175,we,69.5,69.56,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.060000000000002274
176,are,69.62,69.68,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.05999999999998806
177,more,69.74,69.92,4,0.18000000000000682,0.045000000000001705,22.22222222222138,0.060000000000002274
178,polarized,69.98,70.62,9,0.6400000000000006,0.07111111111111118,14.062499999999988,0.01999999999999602
179,we,70.64,70.72,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.04000000000000625
180,are,70.76,70.8,3,0.03999999999999204,0.01333333333333068,75.00000000001492,0.04000000000000625
181,more,70.84,71.02,4,0.1799999999999926,0.04499999999999815,22.222222222223134,0.060000000000002274
182,divided,71.08,71.82,7,0.7399999999999949,0.10571428571428498,9.459459459459525,0.3400000000000034
183,than,72.16,72.3,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.04000000000000625
184,we,72.34,72.42,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.14000000000000057
185,ever,72.56,72.84,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.11999999999999034
186,have,72.96,73.22,4,0.2600000000000051,0.06500000000000128,15.384615384615081,0.0799999999999983
187,been,73.3,73.54,4,0.2400000000000091,0.060000000000002274,16.666666666666035,0.3399999999999892
188,in,73.88,74.04,2,0.1600000000000108,0.0800000000000054,12.499999999999156,0.09999999999999432
189,history,74.14,74.64,7,0.5,0.07142857142857142,14.0,0.3400000000000034
190,were,74.98,75.1,4,0.11999999999999034,0.029999999999997584,33.333333333336014,0.04000000000000625
191,less,75.14,75.36,4,0.21999999999999886,0.054999999999999716,18.181818181818276,0.060000000000002274
192,likely,75.42,75.7,6,0.28000000000000114,0.046666666666666856,21.428571428571342,0.01999999999999602
193,a,75.72,75.76,1,0.04000000000000625,0.04000000000000625,24.999999999996092,0.03999999999999204
194,compromise,75.8,76.34,10,0.5400000000000063,0.054000000000000624,18.518518518518302,0.01999999999999602
195,which,76.36,76.48,5,0.12000000000000455,0.02400000000000091,41.66666666666509,0.03999999999999204
196,means,76.52,76.74,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.21999999999999886
197,we're,76.96,77.1,5,0.14000000000000057,0.028000000000000115,35.714285714285566,0.04000000000000625
198,not,77.14,77.3,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.060000000000002274
199,listening,77.36,77.68,9,0.3200000000000074,0.035555555555556374,28.12499999999935,0.03999999999999204
200,to,77.72,77.78,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.03999999999999204
201,each,77.82,77.96,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.0
202,other,77.96,78.24,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.46000000000000796
203,and,78.7,79.08,3,0.37999999999999545,0.12666666666666515,7.894736842105358,0.060000000000002274
204,we,79.14,79.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.060000000000002274
205,make,79.28,79.42,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.0799999999999983
206,decisions,79.5,79.92,9,0.4200000000000017,0.046666666666666856,21.428571428571342,0.01999999999999602
207,about,79.94,80.2,5,0.2600000000000051,0.052000000000001025,19.230769230768853,0.23999999999999488
208,where,80.44,80.58,5,0.14000000000000057,0.028000000000000115,35.714285714285566,0.01999999999999602
209,to,80.6,80.66,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.04000000000000625
210,live,80.7,80.98,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.37999999999999545
211,who,81.36,81.48,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.03999999999999204
212,to,81.52,81.58,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.04000000000000625
213,marry,81.62,81.9,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.0799999999999983
214,and,81.98,82.06,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.01999999999999602
215,even,82.08,82.24,4,0.1599999999999966,0.03999999999999915,25.000000000000533,0.060000000000002274
216,who,82.3,82.4,3,0.10000000000000853,0.03333333333333618,29.999999999997442,0.03999999999999204
217,our,82.44,82.52,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.0799999999999983
218,friends,82.6,82.88,7,0.28000000000000114,0.04000000000000016,24.999999999999897,0.020000000000010232
219,are,82.9,82.96,3,0.05999999999998806,0.01999999999999602,50.00000000000995,0.020000000000010232
220,going,82.98,83.08,5,0.09999999999999432,0.019999999999998862,50.00000000000284,0.0
221,to,83.08,83.14,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.04000000000000625
222,be,83.18,83.3,2,0.11999999999999034,0.05999999999999517,16.666666666668007,0.3400000000000034
223,based,83.64,83.9,5,0.2600000000000051,0.052000000000001025,19.230769230768853,0.0
224,on,83.9,84.0,2,0.09999999999999432,0.04999999999999716,20.000000000001137,0.060000000000002274
225,what,84.06,84.18,4,0.12000000000000455,0.030000000000001137,33.33333333333207,0.03999999999999204
226,we,84.22,84.28,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.12000000000000455
227,already,84.4,84.88,7,0.47999999999998977,0.0685714285714271,14.583333333333645,0.060000000000002274
228,believe,84.94,85.46,7,0.519999999999996,0.07428571428571372,13.461538461538565,0.6800000000000068
229,again,86.14,86.46,5,0.3199999999999932,0.06399999999999864,15.625000000000334,0.060000000000002274
230,that,86.52,86.6,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.04000000000000625
231,means,86.64,86.86,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.35999999999999943
232,we're,87.22,87.36,5,0.14000000000000057,0.028000000000000115,35.714285714285566,0.04000000000000625
233,not,87.4,87.58,3,0.1799999999999926,0.059999999999997534,16.66666666666735,0.0799999999999983
234,listening,87.66,88.06,9,0.4000000000000057,0.04444444444444508,22.49999999999968,0.03999999999999204
235,to,88.1,88.18,2,0.0800000000000125,0.04000000000000625,24.999999999996092,0.05999999999998806
236,each,88.24,88.4,4,0.1600000000000108,0.0400000000000027,24.999999999998312,0.0
237,other,88.4,88.7,5,0.29999999999999716,0.05999999999999943,16.666666666666824,0.4200000000000017
238,a,89.12,89.2,1,0.0799999999999983,0.0799999999999983,12.500000000000266,0.0799999999999983
239,conversation,89.28,90.0,12,0.7199999999999989,0.05999999999999991,16.666666666666693,0.04000000000000625
240,requires,90.04,90.48,8,0.4399999999999977,0.054999999999999716,18.181818181818276,0.0
241,a,90.48,90.52,1,0.03999999999999204,0.03999999999999204,25.000000000004974,0.060000000000002274
242,balance,90.58,90.96,7,0.37999999999999545,0.05428571428571364,18.42105263157917,0.04000000000000625
243,between,91.0,91.3,7,0.29999999999999716,0.04285714285714245,23.333333333333556,0.060000000000002274
244,talking,91.36,91.8,7,0.4399999999999977,0.06285714285714253,15.909090909090992,0.060000000000002274
245,and,91.86,91.98,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.060000000000002274
246,listening,92.04,92.44,9,0.3999999999999915,0.044444444444443496,22.50000000000048,0.01999999999999602
247,and,92.46,92.56,3,0.10000000000000853,0.03333333333333618,29.999999999997442,0.0799999999999983
248,somewhere,92.64,92.98,9,0.3400000000000034,0.03777777777777816,26.470588235293853,0.03999999999999204
249,along,93.02,93.24,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.0
250,the,93.24,93.3,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.04000000000000625
251,way,93.34,93.46,3,0.11999999999999034,0.03999999999999678,25.000000000002014,0.04000000000000625
252,we,93.5,93.56,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.0799999999999983
253,lost,93.64,93.98,4,0.3400000000000034,0.08500000000000085,11.764705882352823,0.060000000000002274
254,that,94.04,94.16,4,0.11999999999999034,0.029999999999997584,33.333333333336014,0.060000000000002274
255,balance,94.22,94.74,7,0.519999999999996,0.07428571428571372,13.461538461538565,0.4200000000000017
256,now,95.16,95.26,3,0.10000000000000853,0.03333333333333618,29.999999999997442,0.05999999999998806
257,part,95.32,95.56,4,0.2400000000000091,0.060000000000002274,16.666666666666035,0.0
258,of,95.56,95.58,2,0.01999999999999602,0.00999999999999801,100.0000000000199,0.04000000000000625
259,that,95.62,95.72,4,0.09999999999999432,0.02499999999999858,40.000000000002274,0.01999999999999602
260,is,95.74,95.82,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.04000000000000625
261,due,95.86,95.96,3,0.09999999999999432,0.03333333333333144,30.000000000001705,0.020000000000010232
262,to,95.98,96.04,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.03999999999999204
263,technology,96.08,96.66,10,0.5799999999999983,0.05799999999999983,17.24137931034488,0.060000000000002274
264,the,96.72,96.8,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.12000000000000455
265,smart,96.92,97.2,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.0
266,phones,97.2,97.46,6,0.2599999999999909,0.043333333333331815,23.076923076923883,0.020000000000010232
267,that,97.48,97.56,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.01999999999999602
268,you,97.58,97.64,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.060000000000002274
269,all,97.7,97.84,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.060000000000002274
270,either,97.9,98.06,6,0.1599999999999966,0.0266666666666661,37.5000000000008,0.060000000000002274
271,have,98.12,98.28,4,0.1599999999999966,0.03999999999999915,25.000000000000533,0.09999999999999432
272,in,98.38,98.46,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.04000000000000625
273,your,98.5,98.6,4,0.09999999999999432,0.02499999999999858,40.000000000002274,0.04000000000000625
274,hands,98.64,98.98,5,0.3400000000000034,0.06800000000000068,14.705882352941028,0.03999999999999204
275,or,99.02,99.1,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.04000000000000625
276,close,99.14,99.38,5,0.23999999999999488,0.047999999999998974,20.833333333333776,0.04000000000000625
277,enough,99.42,99.62,6,0.20000000000000284,0.033333333333333805,29.999999999999574,0.01999999999999602
278,that,99.64,99.76,4,0.12000000000000455,0.030000000000001137,33.33333333333207,0.01999999999999602
279,you,99.78,99.86,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.01999999999999602
280,could,99.88,99.98,5,0.10000000000000853,0.020000000000001704,49.99999999999574,0.03999999999999204
281,grab,100.02,100.26,4,0.2400000000000091,0.060000000000002274,16.666666666666035,0.03999999999999204
282,them,100.3,100.42,4,0.12000000000000455,0.030000000000001137,33.33333333333207,0.0799999999999983
283,really,100.5,100.66,6,0.1599999999999966,0.0266666666666661,37.5000000000008,0.0799999999999983
284,quickly,100.74,101.08,7,0.3400000000000034,0.04857142857142906,20.58823529411744,0.7199999999999989
285,according,101.8,102.18,9,0.38000000000000966,0.0422222222222233,23.684210526315187,0.0
286,to,102.18,102.22,2,0.03999999999999204,0.01999999999999602,50.00000000000995,0.04000000000000625
