,Word,Start,End,time_spent,post_pause,speaker,intensity,length,std_time_spent,amplitude,post_space,time
39,during,13.74,13.98,0.2400000000000002,0.0199999999999995,0,0.0450935767441199,6,0.040000000000000036,0.5256158619739937,0.019999999999999574,13.86
40,the,14.0,14.06,0.0600000000000005,0.0599999999999987,0,0.0445704038451318,3,0.020000000000000167,0.5185294626974863,0.05999999999999872,14.030000000000001
41,final,14.12,14.46,0.3400000000000016,0.0599999999999987,0,0.0286326444640356,5,0.06800000000000031,0.3026518307219336,0.05999999999999872,14.29
42,week,14.52,14.88,0.3600000000000012,0.5999999999999996,0,0.0291131697904856,4,0.0900000000000003,0.3091605668057115,0.5999999999999996,14.7
43,then,15.48,15.74,0.2599999999999998,0.1600000000000001,0,0.0456534025869963,4,0.06499999999999995,0.533198726941965,0.16000000000000014,15.61
44,obama,15.9,16.34,0.4399999999999995,0.0800000000000018,0,0.043918819580833,5,0.0879999999999999,0.5097037259897162,0.08000000000000185,16.12
45,plucked,16.42,16.8,0.379999999999999,0.0199999999999995,0,0.0255355807644809,7,0.054285714285714146,0.2607019705470889,0.019999999999999574,16.61
46,him,16.82,16.96,0.1400000000000005,0.0199999999999995,0,0.0502137436540836,3,0.046666666666666835,0.594968741598565,0.019999999999999574,16.89
47,out,16.98,17.16,0.1799999999999997,0.0,0,0.0493922849901679,3,0.059999999999999894,0.5838420488877777,0.0,17.07
48,of,17.16,17.24,0.0799999999999983,0.0400000000000027,0,0.0420611375043181,2,0.03999999999999915,0.4845413428684644,0.0400000000000027,17.2
49,a,17.28,17.32,0.0399999999999991,0.0799999999999983,0,0.0758670106226084,1,0.0399999999999991,0.9424433390736896,0.0799999999999983,17.3
50,useless,17.4,17.94,0.5400000000000027,0.0399999999999991,0,0.0444566876139199,7,0.07714285714285753,0.516989171485642,0.03999999999999915,17.67
51,heap,17.98,18.18,0.1999999999999993,0.0199999999999995,0,0.0325215519150368,4,0.04999999999999982,0.3553272483524692,0.019999999999999574,18.08
52,of,18.2,18.3,0.1000000000000014,0.0799999999999983,0,0.0510288506678713,2,0.0500000000000007,0.6060094009369068,0.0799999999999983,18.25
53,senators,18.38,18.94,0.5600000000000023,0.0399999999999991,0,0.0424708658953025,8,0.07000000000000028,0.4900911314355933,0.03999999999999915,18.66
54,to,18.98,19.04,0.0599999999999987,0.0600000000000022,0,0.0410403643065299,2,0.02999999999999935,0.4707149262779361,0.060000000000002274,19.009999999999998
55,become,19.1,19.46,0.3599999999999994,0.0799999999999983,0,0.0390661253560307,6,0.059999999999999894,0.443973775317082,0.0799999999999983,19.28
56,v,19.54,19.66,0.120000000000001,0.1400000000000005,0,0.0322573222811259,1,0.120000000000001,0.3517482466683241,0.14000000000000057,19.6
57,p,19.8,19.92,0.120000000000001,0.7999999999999972,0,0.0208860124860491,1,0.120000000000001,0.1977233694993751,0.7999999999999972,19.86
58,the,20.72,20.78,0.0600000000000022,0.0399999999999991,0,0.0307225279977442,3,0.020000000000000732,0.3309593925048551,0.03999999999999915,20.75
59,twenty,20.82,21.06,0.2399999999999984,0.0600000000000022,0,0.0441741626188778,6,0.03999999999999974,0.5131623583530543,0.060000000000002274,20.939999999999998
60,twenty,21.12,21.42,0.3000000000000007,0.0999999999999978,0,0.0414171583618256,6,0.05000000000000012,0.4758186178605929,0.09999999999999787,21.270000000000003
61,dam,21.52,21.8,0.2800000000000011,0.0799999999999983,0,0.0445775760197122,3,0.0933333333333337,0.518626610108707,0.0799999999999983,21.66
62,field,21.88,22.12,0.240000000000002,0.0199999999999995,0,0.0419389403235795,5,0.048000000000000397,0.4828861768328152,0.019999999999999574,22.0
63,was,22.14,22.26,0.120000000000001,0.0199999999999995,0,0.0533302981837266,3,0.040000000000000334,0.6371826058999678,0.019999999999999574,22.200000000000003
64,so,22.28,22.44,0.1600000000000001,0.1199999999999974,0,0.0486582844706079,2,0.08000000000000004,0.5738999804801325,0.11999999999999744,22.36
65,weak,22.56,22.84,0.2800000000000011,0.0800000000000018,0,0.0459017467838604,4,0.07000000000000027,0.5365625597023901,0.08000000000000185,22.7
66,all,22.92,23.1,0.1799999999999997,0.0599999999999987,0,0.065410672642176,3,0.059999999999999894,0.8008117942387776,0.05999999999999872,23.01
67,he,23.16,23.2,0.0399999999999991,0.0800000000000018,0,0.0449773394872271,2,0.01999999999999955,0.5240414233615555,0.08000000000000185,23.18
68,had,23.28,23.42,0.1400000000000005,0.0199999999999995,0,0.049267703675127,3,0.046666666666666835,0.5821545896511092,0.019999999999999574,23.35
69,to,23.44,23.5,0.0599999999999987,0.0599999999999987,0,0.0428523310908564,2,0.02999999999999935,0.4952580938126863,0.05999999999999872,23.47
70,do,23.56,23.76,0.2000000000000028,0.1799999999999997,0,0.0479965002358365,2,0.1000000000000014,0.5649360847363775,0.17999999999999972,23.66
71,to,23.94,24.02,0.0799999999999983,0.0399999999999991,0,0.0657414027622767,2,0.03999999999999915,0.8052915478505064,0.03999999999999915,23.98
72,win,24.06,24.2,0.1400000000000005,0.0399999999999991,0,0.0547739813001093,3,0.046666666666666835,0.6567373554124649,0.03999999999999915,24.13
73,the,24.24,24.3,0.0600000000000022,0.0399999999999991,0,0.0492965686708711,3,0.020000000000000732,0.5825455672521143,0.03999999999999915,24.27
74,nomination,24.34,25.14,0.8000000000000007,0.0599999999999987,0,0.0467027582008552,10,0.08000000000000007,0.5474122935797445,0.05999999999999872,24.740000000000002
75,was,25.2,25.32,0.120000000000001,0.0799999999999983,0,0.0567642638652683,3,0.040000000000000334,0.6836958178195691,0.0799999999999983,25.259999999999998
76,not,25.4,25.74,0.3399999999999998,0.4400000000000013,0,0.03656802890427,3,0.11333333333333327,0.410136952112669,0.4400000000000013,25.57
77,be,26.18,26.28,0.1000000000000014,0.0399999999999991,0,0.0305642956238485,2,0.0500000000000007,0.3288161282377965,0.03999999999999915,26.23
78,a,26.32,26.36,0.0399999999999991,0.0600000000000022,0,0.0497525273537149,1,0.0399999999999991,0.5887215470983003,0.060000000000002274,26.34
79,crazy,26.42,26.72,0.2999999999999971,0.0600000000000022,0,0.0338128283811354,5,0.05999999999999942,0.3728176432732106,0.060000000000002274,26.57
80,socialist,26.78,27.5,0.7199999999999989,0.5,0,0.0336206570233887,9,0.07999999999999988,0.3702146740193844,0.5,27.14
81,trump,28.0,28.34,0.3399999999999998,0.0399999999999991,0,0.0300234371906314,5,0.06799999999999996,0.3214901776443027,0.03999999999999915,28.17
82,was,28.38,28.54,0.1600000000000001,0.0600000000000022,0,0.0480071087272799,3,0.053333333333333365,0.5650797772063718,0.060000000000002274,28.46
83,positioned,28.6,29.08,0.4799999999999969,0.0400000000000027,0,0.033727552164529,10,0.04799999999999969,0.3716625732746847,0.0400000000000027,28.84
84,to,29.12,29.18,0.0599999999999987,0.0599999999999987,0,0.0308441831050996,2,0.02999999999999935,0.3326072161333618,0.05999999999999872,29.15
85,smoke,29.24,29.68,0.4400000000000013,0.5399999999999991,0,0.0370732081155142,5,0.08800000000000026,0.4169796261196576,0.5399999999999991,29.46
86,before,30.22,30.52,0.3000000000000007,0.0599999999999987,0,0.0329438224671378,6,0.05000000000000012,0.3610469210279588,0.05999999999999872,30.369999999999997
87,covered,30.58,31.0,0.4200000000000017,0.0399999999999991,0,0.0505387059376391,7,0.06000000000000024,0.5993703696177798,0.03999999999999915,30.79
88,hit,31.04,31.26,0.2200000000000024,0.5599999999999987,0,0.0247761622774701,3,0.07333333333333412,0.2504156146839933,0.5599999999999987,31.15
89,the,31.82,31.88,0.0599999999999987,0.0400000000000027,0,0.0293365040243527,3,0.019999999999999567,0.3121856385484498,0.0400000000000027,31.85
90,virus,31.92,32.3,0.3799999999999954,0.0600000000000022,0,0.0478478329379997,5,0.07599999999999908,0.5629223798333363,0.060000000000002274,32.11
91,scrambled,32.36,32.82,0.4600000000000008,0.0399999999999991,0,0.0387866879477957,9,0.0511111111111112,0.4401887836797565,0.03999999999999915,32.59
92,the,32.86,32.9,0.0399999999999991,0.0600000000000022,0,0.0710680522615947,3,0.013333333333333032,0.8774412429726719,0.060000000000002274,32.879999999999995
93,race,32.96,33.34,0.3800000000000025,0.019999999999996,0,0.0446907186411434,4,0.09500000000000063,0.5201591317515576,0.01999999999999602,33.150000000000006
94,and,33.36,33.46,0.1000000000000014,0.1000000000000014,0,0.036812856246014,3,0.0333333333333338,0.4134531489201857,0.10000000000000142,33.41
95,gave,33.56,33.82,0.259999999999998,0.1000000000000014,0,0.0438803568490196,4,0.0649999999999995,0.509182746643458,0.10000000000000142,33.69
96,frail,33.92,34.3,0.3799999999999954,0.0800000000000054,0,0.0430134391852958,5,0.07599999999999908,0.4974403098374125,0.0800000000000054,34.11
97,joe,34.38,34.76,0.3799999999999954,0.0800000000000054,0,0.0497902081311211,3,0.12666666666666512,0.5892319348386937,0.0800000000000054,34.57
98,the,34.84,34.9,0.0599999999999951,0.0600000000000022,0,0.0439052452035501,3,0.019999999999998366,0.5095198604692689,0.060000000000002274,34.870000000000005
99,perfect,34.96,35.38,0.4200000000000017,0.0599999999999951,0,0.0295696104078722,7,0.06000000000000024,0.3153430744758768,0.05999999999999517,35.17
100,opportunity,35.44,36.12,0.6799999999999997,0.0399999999999991,0,0.0323542645411029,11,0.06181818181818179,0.3530613337228944,0.03999999999999915,35.78
101,to,36.16,36.22,0.0600000000000022,0.0799999999999983,0,0.0524859208548871,2,0.0300000000000011,0.6257454788932744,0.0799999999999983,36.19
102,hide,36.3,36.74,0.4400000000000048,0.1799999999999997,0,0.0315490137594455,4,0.1100000000000012,0.3421541774699997,0.17999999999999972,36.519999999999996
103,before,36.92,37.2,0.2800000000000011,0.0399999999999991,0,0.0272011369186811,6,0.04666666666666685,0.283261999839382,0.03999999999999915,37.06
104,election,37.24,37.66,0.4199999999999946,0.0400000000000062,0,0.0362870117820193,8,0.052499999999999325,0.4063305631814859,0.04000000000000625,37.45
105,day,37.7,37.94,0.2399999999999948,0.0399999999999991,0,0.0569962193726231,3,0.07999999999999827,0.68683766508016,0.03999999999999915,37.82
106,and,37.98,38.08,0.1000000000000014,0.3200000000000003,0,0.0291714276856575,3,0.0333333333333338,0.3099496724856805,0.3200000000000003,38.03
107,claim,38.4,38.92,0.5200000000000031,0.0599999999999951,0,0.0370525624268387,5,0.10400000000000062,0.416699979384179,0.05999999999999517,38.66
108,he,38.98,39.04,0.0600000000000022,0.0399999999999991,0,0.0482435276899388,2,0.0300000000000011,0.5682820821598175,0.03999999999999915,39.01
109,was,39.08,39.2,0.1200000000000045,0.0599999999999951,0,0.0603119265555614,3,0.0400000000000015,0.731749060581967,0.05999999999999517,39.14
110,just,39.26,39.48,0.2199999999999988,0.1000000000000014,0,0.0311417258220759,4,0.0549999999999997,0.3366374449513853,0.10000000000000142,39.37
111,following,39.58,40.08,0.5,0.0200000000000031,0,0.028500222273154,9,0.05555555555555555,0.3008581664868948,0.020000000000003126,39.83
112,the,40.1,40.16,0.0599999999999951,0.0800000000000054,0,0.0262161681621433,3,0.019999999999998366,0.2699205559358245,0.0800000000000054,40.129999999999995
113,science,40.24,40.78,0.5399999999999991,0.4799999999999969,0,0.0137431429126675,7,0.07714285714285703,0.1009728958511919,0.4799999999999969,40.510000000000005
114,then,41.26,41.44,0.1799999999999997,0.0200000000000031,0,0.0392957645569078,4,0.04499999999999992,0.4470842481074359,0.020000000000003126,41.349999999999994
115,the,41.46,41.52,0.0600000000000022,0.0399999999999991,0,0.0523986701071487,3,0.020000000000000732,0.6245636637861779,0.03999999999999915,41.49
116,liberal,41.56,41.8,0.2399999999999948,0.0400000000000062,0,0.0567165354572275,7,0.034285714285713545,0.6830493344928088,0.04000000000000625,41.68
117,media,41.84,42.12,0.279999999999994,0.0399999999999991,0,0.0560600223918157,5,0.055999999999998794,0.6741568369633112,0.03999999999999915,41.980000000000004
118,blacked,42.16,42.48,0.3200000000000003,0.0200000000000031,0,0.0342275463804906,7,0.045714285714285756,0.3784350162989721,0.020000000000003126,42.31999999999999
119,out,42.5,42.68,0.1799999999999997,0.0399999999999991,0,0.0525539837426579,3,0.059999999999999894,0.6266673936170476,0.03999999999999915,42.59
120,the,42.72,42.76,0.0399999999999991,0.0399999999999991,0,0.0232069227430555,3,0.013333333333333032,0.2291601981231401,0.03999999999999915,42.739999999999995
121,republic,42.8,43.3,0.5,0.0400000000000062,0,0.0357569660351119,8,0.0625,0.3991510708861762,0.04000000000000625,43.05
122,in,43.34,43.4,0.0599999999999951,0.0399999999999991,0,0.0364103656056606,2,0.02999999999999755,0.4080013959946856,0.03999999999999915,43.370000000000005
123,october,43.44,43.88,0.4400000000000048,0.0599999999999951,0,0.0343550267452506,7,0.06285714285714354,0.3801617432879871,0.05999999999999517,43.66
124,surprise,43.94,44.64,0.7000000000000028,0.0799999999999983,0,0.0331495150957518,8,0.08750000000000036,0.3638330364735636,0.0799999999999983,44.29
125,hunter's,44.72,45.0,0.2800000000000011,0.0399999999999991,0,0.0277541135559971,8,0.035000000000000135,0.2907520920253122,0.03999999999999915,44.86
126,laptop,45.04,45.58,0.5399999999999991,0.5799999999999983,0,0.0315379511752376,6,0.08999999999999986,0.3420043342941038,0.5799999999999983,45.31
127,by,46.16,46.32,0.1600000000000037,0.0600000000000022,0,0.043031753055633,2,0.08000000000000185,0.4976883719938408,0.060000000000002274,46.239999999999995
128,in,46.38,46.44,0.0599999999999951,0.0600000000000022,0,0.0267440092356387,2,0.02999999999999755,0.2770701858355436,0.060000000000002274,46.41
129,china,46.5,46.84,0.3400000000000034,0.0399999999999991,0,0.0319788152891364,5,0.06800000000000068,0.3479758575588084,0.03999999999999915,46.67
130,connections,46.88,47.44,0.5599999999999952,0.0600000000000022,0,0.0296174331432721,11,0.05090909090909047,0.3159908354707493,0.060000000000002274,47.16
131,totally,47.5,47.9,0.3999999999999986,0.0399999999999991,0,0.0355868298450565,7,0.05714285714285694,0.396846568920481,0.03999999999999915,47.7
132,ignored,47.94,48.4,0.4600000000000008,0.5600000000000023,0,0.0206318038884768,7,0.06571428571428582,0.1942801031807216,0.5600000000000023,48.17
133,a,48.96,49.04,0.0799999999999983,0.0600000000000022,1,0.0111146957155257,1,0.0799999999999983,0.0653704662295747,0.060000000000002274,49.0
134,new,49.1,49.26,0.1599999999999966,0.0600000000000022,1,0.0545949222279243,3,0.0533333333333322,0.6543119926269734,0.060000000000002274,49.18
135,book,49.32,49.66,0.3399999999999963,0.4200000000000017,1,0.0400683161448173,4,0.08499999999999908,0.4575484923834955,0.4200000000000017,49.489999999999995
136,claims,50.08,50.42,0.3400000000000034,0.019999999999996,0,0.0387929891194759,6,0.05666666666666723,0.4402741333194682,0.01999999999999602,50.25
137,the,50.44,50.5,0.0600000000000022,0.0600000000000022,0,0.0537311556838447,3,0.020000000000000732,0.6426122378711832,0.060000000000002274,50.47
138,biden,50.56,50.88,0.3200000000000003,0.0599999999999951,0,0.0489833425232072,5,0.06400000000000006,0.5783029056951381,0.05999999999999517,50.72
139,family,50.94,51.32,0.3800000000000025,0.0799999999999983,0,0.0444871078656928,6,0.06333333333333376,0.5174012150960269,0.0799999999999983,51.129999999999995
140,own,51.4,51.66,0.259999999999998,0.1000000000000014,0,0.0460632819271037,3,0.086666666666666,0.5387505601214172,0.10000000000000142,51.53
141,slaves,51.76,52.62,0.8599999999999994,0.480000000000004,0,0.0356033591538147,6,0.14333333333333323,0.3970704591140519,0.480000000000004,52.19
142,geneologists,53.1,54.1,1.0,0.0599999999999951,0,0.0442427184089781,12,0.08333333333333333,0.5140909494599465,0.05999999999999517,53.6
143,uncovered,54.16,54.68,0.5200000000000031,0.0200000000000031,0,0.037316060660918,9,0.05777777777777812,0.4202690742263465,0.020000000000003126,54.42
144,evidence,54.7,55.14,0.4399999999999977,0.0399999999999991,0,0.0390308594806885,8,0.054999999999999716,0.4434960975283561,0.03999999999999915,54.92
145,that,55.18,55.3,0.1199999999999974,0.0800000000000054,0,0.0464096876679274,4,0.02999999999999935,0.5434426406857933,0.0800000000000054,55.239999999999995
146,jose,55.38,55.68,0.2999999999999971,0.0399999999999991,0,0.0496789333951896,4,0.07499999999999928,0.587724713784768,0.03999999999999915,55.53
147,ancestors,55.72,56.38,0.6600000000000037,0.0399999999999991,0,0.0394530518148507,9,0.07333333333333375,0.4492147107385211,0.03999999999999915,56.05
148,on,56.42,56.52,0.1000000000000014,0.0399999999999991,0,0.0441392271426799,2,0.0500000000000007,0.5126891558348586,0.03999999999999915,56.47
149,his,56.56,56.66,0.0999999999999943,0.0400000000000062,0,0.0362758437522144,3,0.03333333333333143,0.4061792917404714,0.04000000000000625,56.61
150,dad's,56.7,57.04,0.3399999999999963,0.0,0,0.037130027385303,5,0.06799999999999926,0.4177492455573278,0.0,56.870000000000005
151,side,57.04,57.34,0.3000000000000042,0.3999999999999986,0,0.0470114410238921,4,0.07500000000000105,0.5515934156104731,0.3999999999999986,57.19
152,held,57.74,57.96,0.2199999999999988,0.0600000000000022,0,0.0467395267396139,4,0.0549999999999997,0.5479103250086698,0.060000000000002274,57.85
153,black,58.02,58.34,0.3200000000000003,0.019999999999996,0,0.042191704384594,5,0.06400000000000006,0.4863098768420557,0.01999999999999602,58.18000000000001
154,slaves,58.36,58.82,0.4600000000000008,0.0600000000000022,0,0.0477640655376167,6,0.0766666666666668,0.5617877468150415,0.060000000000002274,58.59
155,here,58.88,59.2,0.3200000000000003,0.0599999999999951,0,0.050855253829437,4,0.08000000000000007,0.603658024341017,0.05999999999999517,59.040000000000006
156,in,59.26,59.32,0.0600000000000022,0.0200000000000031,0,0.0440934138683685,2,0.0300000000000011,0.5120686130763116,0.020000000000003126,59.29
157,the,59.34,59.4,0.0599999999999951,0.0600000000000022,0,0.0447515486229213,3,0.019999999999998366,0.5209830764545328,0.060000000000002274,59.370000000000005
158,nineteenth,59.46,60.04,0.5799999999999983,0.0399999999999991,0,0.0252370599455434,10,0.05799999999999983,0.2566584932961977,0.03999999999999915,59.75
159,century,60.08,60.62,0.5399999999999991,0.5800000000000054,0,0.0291439910834848,7,0.07714285714285703,0.3095780425366475,0.5800000000000054,60.349999999999994
160,the,61.2,61.26,0.0599999999999951,0.0600000000000022,0,0.0151809957652765,3,0.019999999999998366,0.1204486741916966,0.060000000000002274,61.230000000000004
161,media,61.32,61.64,0.3200000000000003,0.0399999999999991,0,0.0511761403678496,5,0.06400000000000006,0.6080044462180784,0.03999999999999915,61.480000000000004
162,brush,61.68,61.98,0.2999999999999971,0.0600000000000022,0,0.0452999169774246,5,0.05999999999999942,0.5284107492528124,0.060000000000002274,61.83
163,that,62.04,62.26,0.2199999999999988,0.0200000000000031,0,0.0478104351722341,4,0.0549999999999997,0.5624158254977103,0.020000000000003126,62.15
164,aside,62.28,62.68,0.3999999999999986,0.0399999999999991,0,0.0356292205602944,5,0.07999999999999971,0.3974207529701013,0.03999999999999915,62.480000000000004
165,before,62.72,63.0,0.2800000000000011,0.0399999999999991,0,0.0282634714100018,6,0.04666666666666685,0.297651365927082,0.03999999999999915,62.86
166,the,63.04,63.1,0.0600000000000022,0.0399999999999991,0,0.0418436709264869,3,0.020000000000000732,0.4815957487775087,0.03999999999999915,63.07
167,election,63.14,63.56,0.4200000000000017,0.0599999999999951,0,0.0331365784897478,8,0.05250000000000021,0.363657809592346,0.05999999999999517,63.35
168,also,63.62,64.0,0.3800000000000025,0.4200000000000017,0,0.044208221125964,4,0.09500000000000063,0.5136236822871527,0.4200000000000017,63.81
169,that,64.42,64.6,0.1799999999999926,0.0600000000000022,1,0.0415352696163824,4,0.04499999999999815,0.4774184398514823,0.060000000000002274,64.50999999999999
170,one,64.66,64.88,0.2199999999999988,0.2800000000000011,1,0.0540392641135526,3,0.07333333333333293,0.6467855797197204,0.28000000000000114,64.77
171,who,65.16,65.26,0.1000000000000085,0.059999999999988,0,0.0201614206880668,3,0.033333333333336164,0.1879087426276178,0.05999999999998806,65.21000000000001
172,would,65.32,65.48,0.1600000000000108,0.0,0,0.0628460648378817,5,0.03200000000000216,0.76607407192169,0.0,65.4
173,have,65.48,65.52,0.039999999999992,0.0600000000000022,0,0.0638576170214179,4,0.009999999999998,0.7797755894800802,0.060000000000002274,65.5
174,really,65.58,65.82,0.2399999999999948,0.0600000000000022,0,0.0585295229542012,6,0.039999999999999133,0.7076063276239869,0.060000000000002274,65.69999999999999
175,hurt,65.88,66.14,0.2600000000000051,0.7600000000000051,0,0.0258498046278808,4,0.06500000000000128,0.2649581462063491,0.7600000000000051,66.00999999999999
176,but,66.9,67.0,0.0999999999999943,0.0400000000000062,0,0.0345802566632121,3,0.03333333333333143,0.3832124921528023,0.04000000000000625,66.95
177,male,67.04,67.28,0.2399999999999948,0.0600000000000022,0,0.0570702902403908,4,0.0599999999999987,0.6878409581497634,0.060000000000002274,67.16
178,ballots,67.34,67.8,0.4599999999999937,0.0400000000000062,0,0.0509842221322972,7,0.06571428571428481,0.6054049055151913,0.04000000000000625,67.57
179,gave,67.84,68.04,0.2000000000000028,0.0799999999999983,0,0.0532031935088488,4,0.0500000000000007,0.6354609676464641,0.0799999999999983,67.94
180,by,68.12,68.32,0.1999999999999886,0.0400000000000062,0,0.0513624610814377,2,0.0999999999999943,0.6105281682467293,0.04000000000000625,68.22
181,in,68.36,68.42,0.0600000000000022,0.019999999999996,0,0.0280431284655789,2,0.0300000000000011,0.2946668113277095,0.01999999999999602,68.39
182,the,68.44,68.5,0.0600000000000022,0.0600000000000022,0,0.0634737944657029,3,0.020000000000000732,0.7745766965588559,0.060000000000002274,68.47
183,win,68.56,68.82,0.2599999999999909,0.2600000000000051,0,0.0286439835411829,3,0.08666666666666363,0.3028054190065106,0.2600000000000051,68.69
184,installed,69.08,69.64,0.5600000000000023,0.019999999999996,0,0.0396073047574917,9,0.06222222222222248,0.4513040734391579,0.01999999999999602,69.36
185,in,69.66,69.74,0.0799999999999983,0.0400000000000062,0,0.0399455548414027,2,0.03999999999999915,0.4558856852820901,0.04000000000000625,69.69999999999999
186,the,69.78,69.82,0.039999999999992,0.0800000000000125,0,0.0566487734009619,3,0.013333333333330666,0.6821314945446306,0.0800000000000125,69.8
187,office,69.9,70.3,0.3999999999999915,0.0400000000000062,0,0.0435776933250513,6,0.06666666666666525,0.5050831562758717,0.04000000000000625,70.1
