,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
94,these,41.0,41.24,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.01999999999999602,41.120000000000005
95,days,41.26,41.56,4,0.3000000000000042,0.07500000000000105,13.333333333333144,0.03999999999999915,41.41
96,with,41.6,41.74,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.05999999999999517,41.67
97,climate,41.8,42.14,7,0.3400000000000034,0.04857142857142906,20.58823529411744,0.060000000000002274,41.97
98,change,42.2,42.58,6,0.3799999999999954,0.06333333333333256,15.789473684210716,0.060000000000002274,42.39
99,and,42.64,42.74,3,0.1000000000000014,0.0333333333333338,29.999999999999574,0.05999999999999517,42.69
100,anti,42.8,43.1,4,0.3000000000000042,0.07500000000000105,13.333333333333144,0.05999999999999517,42.95
101,vaxing,43.16,43.66,6,0.5,0.08333333333333333,12.0,0.1600000000000037,43.41
102,those,43.82,44.04,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.17999999999999972,43.93
103,subjects,44.22,44.74,8,0.5200000000000031,0.06500000000000039,15.384615384615293,1.3200000000000003,44.480000000000004
104,are,46.06,46.24,3,0.1799999999999997,0.059999999999999894,16.666666666666693,0.03999999999999915,46.150000000000006
105,not,46.28,46.46,3,0.1799999999999997,0.059999999999999894,16.666666666666693,0.0799999999999983,46.370000000000005
106,safe,46.54,46.8,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274,46.67
107,either,46.86,47.24,6,0.3800000000000025,0.06333333333333376,15.78947368421042,0.19999999999999574,47.05
108,so,47.44,47.64,2,0.2000000000000028,0.1000000000000014,9.999999999999858,0.20000000000000284,47.54
109,this,47.84,48.02,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.09999999999999432,47.93000000000001
110,world,48.12,48.48,5,0.3599999999999994,0.07199999999999987,13.88888888888891,0.060000000000002274,48.3
111,that,48.54,48.7,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.03999999999999915,48.620000000000005
112,we,48.74,48.82,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.11999999999999744,48.78
113,live,48.94,49.18,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.060000000000002274,49.06
114,in,49.24,49.42,2,0.1799999999999997,0.08999999999999984,11.111111111111128,1.2199999999999989,49.33
115,this,50.64,50.82,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.060000000000002274,50.730000000000004
116,world,50.88,51.2,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.01999999999999602,51.040000000000006
117,in,51.22,51.28,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999915,51.25
118,which,51.32,51.54,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.28000000000000114,51.43
119,every,51.82,52.28,5,0.4600000000000008,0.09200000000000016,10.869565217391283,0.0799999999999983,52.05
120,conversation,52.36,53.16,12,0.7999999999999972,0.06666666666666643,15.000000000000052,0.04000000000000625,52.76
121,has,53.2,53.36,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.03999999999999915,53.28
122,the,53.4,53.46,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.03999999999999915,53.43
123,potential,53.5,53.92,9,0.4200000000000017,0.046666666666666856,21.428571428571345,0.01999999999999602,53.71
124,to,53.94,54.02,2,0.0800000000000054,0.0400000000000027,24.999999999998312,0.03999999999999915,53.980000000000004
125,devolve,54.06,54.4,7,0.3399999999999963,0.048571428571428044,20.588235294117872,0.020000000000003126,54.230000000000004
126,into,54.42,54.58,4,0.1599999999999966,0.03999999999999915,25.000000000000533,0.03999999999999915,54.5
127,an,54.62,54.68,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.060000000000002274,54.65
128,argument,54.74,55.12,8,0.3799999999999954,0.047499999999999425,21.05263157894762,0.020000000000003126,54.93
129,where,55.14,55.26,5,0.1199999999999974,0.02399999999999948,41.66666666666755,0.020000000000003126,55.2
130,our,55.28,55.34,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.03999999999999915,55.31
131,politicians,55.38,55.98,11,0.5999999999999943,0.05454545454545403,18.333333333333503,0.060000000000002274,55.68
132,can't,56.04,56.22,5,0.1799999999999997,0.035999999999999935,27.77777777777782,0.060000000000002274,56.129999999999995
133,speak,56.28,56.56,5,0.2800000000000011,0.056000000000000216,17.857142857142783,0.03999999999999915,56.42
134,to,56.6,56.66,2,0.0599999999999951,0.02999999999999755,33.333333333336014,0.060000000000002274,56.629999999999995
135,one,56.72,56.84,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.03999999999999915,56.78
136,another,56.88,57.2,7,0.3200000000000003,0.045714285714285756,21.874999999999982,0.37999999999999545,57.040000000000006
137,and,57.58,57.7,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.03999999999999915,57.64
138,where,57.74,57.9,5,0.1599999999999966,0.03199999999999932,31.250000000000668,0.10000000000000142,57.82
139,even,58.0,58.26,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274,58.129999999999995
140,the,58.32,58.38,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.05999999999999517,58.35
141,most,58.44,58.7,4,0.2600000000000051,0.06500000000000128,15.38461538461508,0.09999999999999432,58.57
142,trivial,58.8,59.38,7,0.5800000000000054,0.08285714285714363,12.068965517241269,0.03999999999999915,59.09
143,of,59.42,59.48,2,0.0599999999999951,0.02999999999999755,33.333333333336014,0.0800000000000054,59.45
144,issues,59.56,59.98,6,0.4199999999999946,0.0699999999999991,14.28571428571447,0.04000000000000625,59.769999999999996
145,have,60.02,60.14,4,0.1199999999999974,0.02999999999999935,33.333333333334046,0.060000000000002274,60.08
146,someone,60.2,60.46,7,0.259999999999998,0.03714285714285686,26.92307692307713,0.060000000000002274,60.33
147,fighting,60.52,60.8,8,0.279999999999994,0.03499999999999925,28.57142857142918,0.060000000000002274,60.66
148,both,60.86,61.02,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.03999999999999915,60.94
149,passionately,61.06,61.56,12,0.5,0.041666666666666664,24.0,0.09999999999999432,61.31
150,for,61.66,61.9,3,0.240000000000002,0.08000000000000067,12.499999999999895,0.03999999999999915,61.78
151,it,61.94,62.04,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.28000000000000114,61.989999999999995
152,and,62.32,62.44,3,0.1199999999999974,0.039999999999999133,25.000000000000533,0.03999999999999915,62.379999999999995
153,against,62.48,62.88,7,0.4000000000000057,0.05714285714285795,17.49999999999975,0.01999999999999602,62.68
154,it,62.9,63.0,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.38000000000000256,62.95
155,it's,63.38,63.56,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.0799999999999983,63.47
156,not,63.64,63.86,3,0.2199999999999988,0.07333333333333293,13.636363636363706,0.0799999999999983,63.75
157,normal,63.94,64.38,6,0.4399999999999977,0.07333333333333296,13.636363636363706,0.6800000000000068,64.16
158,pure,65.06,65.26,4,0.2000000000000028,0.0500000000000007,19.99999999999972,0.03999999999999204,65.16
159,research,65.3,65.7,8,0.4000000000000057,0.05000000000000071,19.99999999999972,0.03999999999999204,65.5
160,did,65.74,65.86,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.01999999999999602,65.8
161,a,65.88,65.92,1,0.0400000000000062,0.0400000000000062,24.99999999999609,0.03999999999999204,65.9
162,study,65.96,66.2,5,0.2400000000000091,0.04800000000000182,20.833333333332543,0.01999999999999602,66.08
163,of,66.22,66.28,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.0799999999999983,66.25
164,ten,66.36,66.64,3,0.2800000000000011,0.0933333333333337,10.714285714285673,0.09999999999999432,66.5
165,thousand,66.74,67.24,8,0.5,0.0625,16.0,0.060000000000002274,66.99
166,american,67.3,67.72,8,0.4200000000000017,0.05250000000000021,19.04761904761897,0.01999999999999602,67.50999999999999
167,adults,67.74,68.08,6,0.3400000000000034,0.05666666666666723,17.647058823529235,0.04000000000000625,67.91
168,and,68.12,68.18,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.0,68.15
169,they,68.18,68.26,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.05999999999998806,68.22
170,found,68.32,68.52,5,0.2000000000000028,0.040000000000000556,24.999999999999645,0.04000000000000625,68.41999999999999
171,that,68.56,68.66,4,0.0999999999999943,0.024999999999998575,40.000000000002274,0.04000000000000625,68.61
172,at,68.7,68.84,2,0.1400000000000005,0.07000000000000026,14.285714285714228,0.060000000000002274,68.77000000000001
173,this,68.9,69.08,4,0.1799999999999926,0.04499999999999815,22.22222222222313,0.0799999999999983,68.99000000000001
174,moment,69.16,69.46,6,0.2999999999999971,0.04999999999999952,20.00000000000019,0.04000000000000625,69.31
175,we,69.5,69.56,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.060000000000002274,69.53
176,are,69.62,69.68,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.05999999999998806,69.65
177,more,69.74,69.92,4,0.1800000000000068,0.0450000000000017,22.22222222222138,0.060000000000002274,69.83
178,polarized,69.98,70.62,9,0.6400000000000006,0.07111111111111118,14.062499999999988,0.01999999999999602,70.30000000000001
179,we,70.64,70.72,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.04000000000000625,70.68
180,are,70.76,70.8,3,0.039999999999992,0.013333333333330666,75.00000000001492,0.04000000000000625,70.78
181,more,70.84,71.02,4,0.1799999999999926,0.04499999999999815,22.22222222222313,0.060000000000002274,70.93
182,divided,71.08,71.82,7,0.7399999999999949,0.10571428571428498,9.459459459459524,0.3400000000000034,71.44999999999999
183,than,72.16,72.3,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.04000000000000625,72.22999999999999
184,we,72.34,72.42,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.14000000000000057,72.38
185,ever,72.56,72.84,4,0.2800000000000011,0.07000000000000027,14.285714285714228,0.11999999999999034,72.7
186,have,72.96,73.22,4,0.2600000000000051,0.06500000000000128,15.38461538461508,0.0799999999999983,73.09
187,been,73.3,73.54,4,0.2400000000000091,0.060000000000002274,16.666666666666035,0.3399999999999892,73.42
188,in,73.88,74.04,2,0.1600000000000108,0.0800000000000054,12.499999999999156,0.09999999999999432,73.96000000000001
189,history,74.14,74.64,7,0.5,0.07142857142857142,14.0,0.3400000000000034,74.39
190,were,74.98,75.1,4,0.1199999999999903,0.029999999999997574,33.333333333336014,0.04000000000000625,75.03999999999999
191,less,75.14,75.36,4,0.2199999999999988,0.0549999999999997,18.18181818181828,0.060000000000002274,75.25
192,likely,75.42,75.7,6,0.2800000000000011,0.04666666666666685,21.428571428571345,0.01999999999999602,75.56
193,a,75.72,75.76,1,0.0400000000000062,0.0400000000000062,24.99999999999609,0.03999999999999204,75.74000000000001
194,compromise,75.8,76.34,10,0.5400000000000063,0.054000000000000624,18.518518518518302,0.01999999999999602,76.07
195,which,76.36,76.48,5,0.1200000000000045,0.024000000000000903,41.66666666666509,0.03999999999999204,76.42
196,means,76.52,76.74,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.21999999999999886,76.63
197,we're,76.96,77.1,5,0.1400000000000005,0.0280000000000001,35.714285714285566,0.04000000000000625,77.03
198,not,77.14,77.3,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.060000000000002274,77.22
199,listening,77.36,77.68,9,0.3200000000000074,0.035555555555556374,28.12499999999935,0.03999999999999204,77.52000000000001
200,to,77.72,77.78,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999204,77.75
201,each,77.82,77.96,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.0,77.88999999999999
202,other,77.96,78.24,5,0.2800000000000011,0.056000000000000216,17.857142857142783,0.46000000000000796,78.1
203,and,78.7,79.08,3,0.3799999999999954,0.12666666666666512,7.894736842105358,0.060000000000002274,78.89
204,we,79.14,79.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.060000000000002274,79.18
205,make,79.28,79.42,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.0799999999999983,79.35
206,decisions,79.5,79.92,9,0.4200000000000017,0.046666666666666856,21.428571428571345,0.01999999999999602,79.71000000000001
207,about,79.94,80.2,5,0.2600000000000051,0.052000000000001025,19.230769230768853,0.23999999999999488,80.07
208,where,80.44,80.58,5,0.1400000000000005,0.0280000000000001,35.714285714285566,0.01999999999999602,80.50999999999999
209,to,80.6,80.66,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.04000000000000625,80.63
210,live,80.7,80.98,4,0.2800000000000011,0.07000000000000027,14.285714285714228,0.37999999999999545,80.84
211,who,81.36,81.48,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.03999999999999204,81.42
212,to,81.52,81.58,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.04000000000000625,81.55
213,marry,81.62,81.9,5,0.2800000000000011,0.056000000000000216,17.857142857142783,0.0799999999999983,81.76
214,and,81.98,82.06,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.01999999999999602,82.02000000000001
215,even,82.08,82.24,4,0.1599999999999966,0.03999999999999915,25.000000000000533,0.060000000000002274,82.16
216,who,82.3,82.4,3,0.1000000000000085,0.033333333333336164,29.99999999999744,0.03999999999999204,82.35
217,our,82.44,82.52,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.0799999999999983,82.47999999999999
218,friends,82.6,82.88,7,0.2800000000000011,0.040000000000000153,24.999999999999897,0.020000000000010232,82.74
219,are,82.9,82.96,3,0.059999999999988,0.019999999999996,50.00000000000995,0.020000000000010232,82.93
220,going,82.98,83.08,5,0.0999999999999943,0.01999999999999886,50.00000000000284,0.0,83.03
221,to,83.08,83.14,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.04000000000000625,83.11
222,be,83.18,83.3,2,0.1199999999999903,0.05999999999999515,16.666666666668007,0.3400000000000034,83.24000000000001
223,based,83.64,83.9,5,0.2600000000000051,0.052000000000001025,19.230769230768853,0.0,83.77000000000001
224,on,83.9,84.0,2,0.0999999999999943,0.04999999999999715,20.000000000001137,0.060000000000002274,83.95
225,what,84.06,84.18,4,0.1200000000000045,0.030000000000001126,33.33333333333207,0.03999999999999204,84.12
226,we,84.22,84.28,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.12000000000000455,84.25
227,already,84.4,84.88,7,0.4799999999999897,0.0685714285714271,14.583333333333645,0.060000000000002274,84.64
228,believe,84.94,85.46,7,0.519999999999996,0.07428571428571372,13.461538461538565,0.6800000000000068,85.19999999999999
229,again,86.14,86.46,5,0.3199999999999932,0.06399999999999864,15.625000000000334,0.060000000000002274,86.3
230,that,86.52,86.6,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.04000000000000625,86.56
231,means,86.64,86.86,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.35999999999999943,86.75
232,we're,87.22,87.36,5,0.1400000000000005,0.0280000000000001,35.714285714285566,0.04000000000000625,87.28999999999999
233,not,87.4,87.58,3,0.1799999999999926,0.059999999999997534,16.66666666666735,0.0799999999999983,87.49000000000001
234,listening,87.66,88.06,9,0.4000000000000057,0.04444444444444508,22.49999999999968,0.03999999999999204,87.86
235,to,88.1,88.18,2,0.0800000000000125,0.04000000000000625,24.99999999999609,0.05999999999998806,88.14
236,each,88.24,88.4,4,0.1600000000000108,0.0400000000000027,24.999999999998312,0.0,88.32
237,other,88.4,88.7,5,0.2999999999999971,0.05999999999999942,16.666666666666824,0.4200000000000017,88.55000000000001
238,a,89.12,89.2,1,0.0799999999999983,0.0799999999999983,12.500000000000266,0.0799999999999983,89.16
239,conversation,89.28,90.0,12,0.7199999999999989,0.05999999999999991,16.666666666666693,0.04000000000000625,89.64
240,requires,90.04,90.48,8,0.4399999999999977,0.054999999999999716,18.18181818181828,0.0,90.26
241,a,90.48,90.52,1,0.039999999999992,0.039999999999992,25.00000000000497,0.060000000000002274,90.5
242,balance,90.58,90.96,7,0.3799999999999954,0.054285714285713625,18.42105263157917,0.04000000000000625,90.77
243,between,91.0,91.3,7,0.2999999999999971,0.04285714285714244,23.33333333333356,0.060000000000002274,91.15
244,talking,91.36,91.8,7,0.4399999999999977,0.06285714285714253,15.909090909090992,0.060000000000002274,91.58
245,and,91.86,91.98,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.060000000000002274,91.92
246,listening,92.04,92.44,9,0.3999999999999915,0.044444444444443496,22.50000000000048,0.01999999999999602,92.24000000000001
247,and,92.46,92.56,3,0.1000000000000085,0.033333333333336164,29.99999999999744,0.0799999999999983,92.50999999999999
248,somewhere,92.64,92.98,9,0.3400000000000034,0.03777777777777816,26.470588235293853,0.03999999999999204,92.81
249,along,93.02,93.24,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.0,93.13
250,the,93.24,93.3,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.04000000000000625,93.27
251,way,93.34,93.46,3,0.1199999999999903,0.03999999999999677,25.00000000000201,0.04000000000000625,93.4
252,we,93.5,93.56,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.0799999999999983,93.53
253,lost,93.64,93.98,4,0.3400000000000034,0.08500000000000085,11.764705882352825,0.060000000000002274,93.81
254,that,94.04,94.16,4,0.1199999999999903,0.029999999999997574,33.333333333336014,0.060000000000002274,94.1
255,balance,94.22,94.74,7,0.519999999999996,0.07428571428571372,13.461538461538565,0.4200000000000017,94.47999999999999
256,now,95.16,95.26,3,0.1000000000000085,0.033333333333336164,29.99999999999744,0.05999999999998806,95.21000000000001
257,part,95.32,95.56,4,0.2400000000000091,0.060000000000002274,16.666666666666035,0.0,95.44
258,of,95.56,95.58,2,0.019999999999996,0.009999999999998,100.0000000000199,0.04000000000000625,95.57
259,that,95.62,95.72,4,0.0999999999999943,0.024999999999998575,40.000000000002274,0.01999999999999602,95.67
