,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
86,year,46.12,46.32,4,0.2,0.05,226.31840499816224,46.22,0.03999999999999915,0.3882589695281406
87,mighty,46.36,46.72,6,0.36,0.06,225.40629496174049,46.54,0.10000000000000142,0.4964357429448296
88,and,46.82,46.9,3,0.08,0.02666666666666667,214.15251818969645,46.86,0.060000000000002274,0.4540880095628942
89,despair,46.96,47.54,7,0.58,0.08285714285714285,207.27223086754134,47.25,0.38000000000000256,0.3512803570079689
90,nothing,47.92,48.22,7,0.3,0.04285714285714286,226.03908915984132,48.07,0.03999999999999915,0.4384952670486589
91,beside,48.26,48.72,6,0.46,0.07666666666666667,217.97461431468005,48.49,0.03999999999999915,0.4453686169050703
92,remains,48.76,49.36,7,0.6,0.08571428571428572,221.56963580071033,49.06,0.7000000000000028,0.3876145634016245
93,round,50.06,50.38,5,0.32,0.064,236.9886568236371,50.22,0.03999999999999915,0.6657283117726033
94,the,50.42,50.5,3,0.08,0.02666666666666667,250.82035266270924,50.46,0.060000000000002274,0.4094122091678376
95,decay,50.56,51.14,5,0.58,0.11599999999999999,215.53896861531197,50.85,0.17999999999999972,0.3451450745624124
96,of,51.32,51.44,2,0.12,0.06,235.55112422152055,51.38,0.0800000000000054,0.5513993656709605
97,that,51.52,51.76,4,0.24,0.06,225.32910731251062,51.64,0.12000000000000455,0.4683772286105016
98,colossal,51.88,52.38,8,0.5,0.0625,225.16153848976077,52.13,0.03999999999999915,0.5309350674534424
99,wreck,52.42,52.84,5,0.42,0.08399999999999999,170.95930383386207,52.63,0.259999999999998,0.31689503551896275
100,boundless,53.1,53.64,9,0.54,0.060000000000000005,227.22084546036027,53.37,0.03999999999999915,0.4513221246416922
101,and,53.68,53.78,3,0.1,0.03333333333333333,226.64689030475904,53.73,0.060000000000002274,0.44051494300422106
102,bear,53.84,54.22,4,0.38,0.095,223.55093653179603,54.03,0.759999999999998,0.3092366864123558
103,the,54.98,55.12,3,0.14,0.04666666666666667,256.04978224422786,55.05,0.03999999999999915,0.5072828267799815
104,loan,55.16,55.46,4,0.3,0.075,242.60238908481654,55.31,0.0799999999999983,0.6173692715040111
105,and,55.54,55.68,3,0.14,0.04666666666666667,240.05356228334938,55.61,0.0799999999999983,0.5973877028394122
106,level,55.76,56.02,5,0.26,0.052000000000000005,237.3239497258393,55.89,0.05999999999999517,0.3748262912068369
107,sands,56.08,56.62,5,0.54,0.10800000000000001,220.37162314819875,56.35,0.22000000000000597,0.5316498009294145
108,stretch,56.84,57.26,7,0.42,0.06,229.52150087436695,57.05,0.060000000000002274,0.670103713349859
109,farther,57.32,57.7,7,0.38,0.054285714285714284,230.29901223979934,57.51,0.03999999999999915,0.45390226838046493
110,way,57.74,58.1,3,0.36,0.12,224.22401643215272,57.92,0.0,0.2932887072543328
